,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25, 30]","[31.98815, 32.49374]","[31.89439, 32.57651]","[32.02648, 32.40006]","[31.71417, 32.67302]","[31.77223, 32.63812]","[31.68031, 32.83005]","[32.00046, 32.63348]","[32.05045, 32.65053]","[32.04076, 32.63225]","[31.73391, 32.85008]","[31.51111, 32.99365]","[31.83361, 32.64347]"
"[30, 35]","[31.79903, 32.78562]","[31.65706, 32.93545]","[31.66525, 32.90857]","[31.61928, 32.92740]","[31.73390, 32.83974]","[31.80364, 32.88609]","[31.88094, 32.96980]","[31.89010, 33.06815]","[31.94379, 32.99743]","[31.81951, 32.99776]","[31.66810, 33.00682]","[31.65329, 32.94127]"
"[35, 40]","[31.75032, 32.86645]","[31.63009, 32.97421]","[31.64694, 32.95373]","[31.65615, 32.95241]","[31.77816, 32.88314]","[31.83077, 32.94777]","[31.89292, 33.03425]","[31.91548, 33.11642]","[31.90658, 33.12432]","[31.83060, 33.09553]","[31.65731, 33.12382]","[31.62606, 33.04245]"
"[40, 45]","[31.73191, 32.95013]","[31.74741, 32.88850]","[31.65367, 32.99238]","[31.76011, 32.93275]","[31.85411, 32.92357]","[31.87941, 33.02916]","[31.93407, 33.13330]","[31.94261, 33.25502]","[31.83803, 33.39563]","[31.94296, 33.20593]","[31.61912, 33.36081]","[31.60772, 33.19515]"
"[45, 50]","[31.70304, 33.11456]","[31.77495, 32.93531]","[31.66753, 33.04579]","[31.79148, 33.01553]","[31.88544, 33.06283]","[31.92107, 33.17913]","[31.96473, 33.27629]","[31.97457, 33.37639]","[31.85545, 33.54417]","[31.97494, 33.38009]","[31.64484, 33.56632]","[31.49844, 33.50907]"
"[50, 55]","[31.64455, 33.30848]","[31.83971, 32.97440]","[31.64609, 33.18159]","[31.84179, 33.11823]","[31.93306, 33.20233]","[31.97360, 33.32302]","[32.00551, 33.42510]","[31.98355, 33.55815]","[31.95215, 33.65816]","[32.01742, 33.57057]","[31.73565, 33.70478]","[31.57888, 33.61813]"
"[55, 60]","[31.57254, 33.51411]","[31.83114, 33.10539]","[31.68080, 33.28965]","[31.87500, 33.26217]","[31.97696, 33.36156]","[32.08492, 33.42428]","[32.05374, 33.59187]","[32.04006, 33.72463]","[32.02774, 33.81817]","[32.06196, 33.76340]","[31.83434, 33.82069]","[31.69176, 33.67747]"
"[60, 65]","[31.58323, 33.71320]","[31.80761, 33.30684]","[31.69921, 33.44135]","[31.89939, 33.43312]","[32.05011, 33.52167]","[32.21192, 33.55050]","[32.13524, 33.75337]","[32.10983, 33.87379]","[32.13124, 33.92258]","[32.13756, 33.90761]","[31.93882, 33.95405]","[31.84672, 33.75919]"
"[65, 70]","[31.66317, 33.85152]","[31.79092, 33.53243]","[31.73955, 33.60896]","[31.92299, 33.63250]","[32.15777, 33.65920]","[32.35682, 33.66218]","[32.23888, 33.89648]","[32.21381, 33.99292]","[32.25480, 34.00310]","[32.21708, 34.03014]","[32.02259, 34.08310]","[32.01567, 33.81167]"
"[70, 75]","[31.79332, 33.94634]","[31.81730, 33.73657]","[31.82698, 33.75013]","[31.99436, 33.78929]","[32.28426, 33.76678]","[32.50981, 33.75015]","[32.37072, 34.00322]","[32.34383, 34.08572]","[32.39765, 34.06189]","[32.31996, 34.11645]","[32.11722, 34.18198]","[32.17546, 33.86158]"
"[75, 80]","[31.95752, 33.99969]","[31.85032, 33.92685]","[31.96973, 33.83088]","[32.09794, 33.91036]","[32.42283, 33.85649]","[32.66937, 33.81939]","[32.52257, 34.07091]","[32.48953, 34.14116]","[32.53708, 34.10563]","[32.44515, 34.16818]","[32.23720, 34.24795]","[32.32661, 33.91363]"
"[80, 85]","[32.12246, 34.04117]","[31.92752, 34.06946]","[32.07546, 33.94977]","[32.24084, 33.98983]","[32.56775, 33.92760]","[32.82861, 33.86698]","[32.67218, 34.11568]","[32.63191, 34.17844]","[32.67941, 34.13040]","[32.58172, 34.19451]","[32.37839, 34.27731]","[32.47790, 33.94987]"
"[85, 90]","[32.28576, 34.07374]","[32.06662, 34.15079]","[32.21364, 34.03927]","[32.40127, 34.04534]","[32.71511, 33.97535]","[32.96733, 33.90556]","[32.80721, 34.14768]","[32.76886, 34.20176]","[32.81802, 34.14410]","[32.71246, 34.20932]","[32.53340, 34.27087]","[32.61905, 33.97580]"
"[90, 95]","[32.41520, 34.10727]","[32.20429, 34.19293]","[32.37500, 34.06512]","[32.56037, 34.06820]","[32.85570, 34.00299]","[33.09088, 33.93562]","[32.93213, 34.16599]","[32.89582, 34.21194]","[32.93989, 34.15527]","[32.84196, 34.21064]","[32.68562, 34.25246]","[32.74416, 33.99582]"
"[95, 100]","[32.53405, 34.13704]","[32.33869, 34.23594]","[32.52995, 34.10127]","[32.71679, 34.09170]","[32.98347, 34.02716]","[33.19067, 33.96163]","[33.03340, 34.17934]","[33.00561, 34.21848]","[33.05072, 34.16372]","[32.96238, 34.20685]","[32.82400, 34.22821]","[32.85232, 34.01127]"
"[100, 125]","[32.80812, 34.19395]","[32.60858, 34.34359]","[32.87185, 34.15166]","[33.00360, 34.17197]","[33.22799, 34.10274]","[33.37979, 34.05217]","[33.26092, 34.21264]","[33.26149, 34.21974]","[33.29623, 34.17214]","[33.23246, 34.18457]","[33.11799, 34.18611]","[33.04977, 34.09460]"
"[125, 150]","[33.19658, 34.16730]","[33.00063, 34.34925]","[33.31724, 34.10309]","[33.36783, 34.17095]","[33.56312, 34.08571]","[33.67559, 34.03832]","[33.57681, 34.15739]","[33.58856, 34.14033]","[33.60632, 34.10017]","[33.55736, 34.09804]","[33.46623, 34.09843]","[33.28679, 34.16473]"
"[150, 175]","[33.40984, 34.16145]","[33.26543, 34.31019]","[33.55156, 34.08570]","[33.54675, 34.17853]","[33.73370, 34.06565]","[33.79797, 34.03931]","[33.70535, 34.13795]","[33.74856, 34.08400]","[33.74380, 34.06648]","[33.69650, 34.07153]","[33.63019, 34.07019]","[33.44597, 34.17712]"
"[175, 200]","[33.54541, 34.15830]","[33.46474, 34.25135]","[33.69720, 34.06930]","[33.67095, 34.15846]","[33.82168, 34.05488]","[33.84502, 34.05101]","[33.74073, 34.15392]","[33.82260, 34.06156]","[33.81328, 34.05340]","[33.74828, 34.08655]","[33.74391, 34.04188]","[33.60307, 34.13031]"
"[200, 225]","[33.62878, 34.16096]","[33.59477, 34.20931]","[33.78301, 34.06202]","[33.76542, 34.12645]","[33.86291, 34.06077]","[33.86595, 34.06735]","[33.74886, 34.17905]","[33.86557, 34.05174]","[33.85162, 34.05135]","[33.75203, 34.12697]","[33.80082, 34.04264]","[33.66254, 34.14468]"
"[225, 250]","[33.69305, 34.15257]","[33.65851, 34.19997]","[33.82534, 34.06807]","[33.78372, 34.14899]","[33.88583, 34.07230]","[33.88016, 34.08326]","[33.77125, 34.18422]","[33.86960, 34.07455]","[33.87298, 34.05895]","[33.78013, 34.13364]","[33.84688, 34.03992]","[33.70559, 34.15323]"
"[250, 275]","[33.73612, 34.14844]","[33.69118, 34.20397]","[33.85793, 34.06865]","[33.79771, 34.16500]","[33.89751, 34.08822]","[33.88878, 34.10031]","[33.77628, 34.20334]","[33.85656, 34.11141]","[33.88733, 34.07033]","[33.86587, 34.07785]","[33.88239, 34.03936]","[33.77832, 34.11896]"
"[275, 300]","[33.76888, 34.14592]","[33.71102, 34.21247]","[33.87864, 34.07472]","[33.81628, 34.17258]","[33.91042, 34.10106]","[33.89534, 34.11839]","[33.78178, 34.22074]","[33.85864, 34.13121]","[33.89342, 34.08717]","[33.89518, 34.07449]","[33.90833, 34.04269]","[33.87670, 34.05147]"
"[300, 325]","[33.78592, 34.15463]","[33.72604, 34.22200]","[33.89277, 34.08458]","[33.81781, 34.19535]","[33.92553, 34.11053]","[33.90543, 34.13210]","[33.78672, 34.23792]","[33.86954, 34.14112]","[33.90483, 34.09689]","[33.91111, 34.08165]","[33.92457, 34.05177]","[33.90431, 34.05019]"
"[325, 350]","[33.78763, 34.17593]","[33.73778, 34.23282]","[33.90765, 34.09265]","[33.81386, 34.22320]","[33.93651, 34.12389]","[33.91635, 34.14470]","[33.78997, 34.25651]","[33.93917, 34.09205]","[33.91301, 34.10937]","[33.91996, 34.09472]","[33.93896, 34.06059]","[33.92044, 34.05761]"
"[350, 375]","[33.79580, 34.19014]","[33.74827, 34.24470]","[33.91384, 34.11006]","[33.82033, 34.24205]","[33.95211, 34.13424]","[33.92597, 34.15976]","[33.80895, 34.25979]","[33.95765, 34.09402]","[33.91677, 34.12599]","[33.93113, 34.10521]","[33.95350, 34.06890]","[33.93186, 34.06914]"
"[375, 400]","[33.79993, 34.20971]","[33.75817, 34.25941]","[33.92262, 34.12701]","[33.81829, 34.27065]","[33.96469, 34.14800]","[33.93418, 34.17637]","[33.82155, 34.26984]","[33.96724, 34.10536]","[33.92732, 34.13586]","[33.93845, 34.11894]","[33.96370, 34.08079]","[33.94320, 34.08078]"
"[400, 425]","[33.80388, 34.23144]","[33.76625, 34.27850]","[33.93270, 34.14601]","[33.84385, 34.27497]","[33.97746, 34.16379]","[33.94823, 34.18802]","[33.83779, 34.27663]","[33.97808, 34.11663]","[33.94066, 34.14548]","[33.94062, 34.14111]","[33.97447, 34.09511]","[33.95346, 34.09573]"
"[425, 450]","[33.83083, 34.23455]","[33.77866, 34.29665]","[33.93069, 34.17956]","[33.85775, 34.29279]","[33.99117, 34.18002]","[33.95819, 34.20460]","[33.84597, 34.29196]","[33.97788, 34.13955]","[33.95098, 34.15968]","[33.95312, 34.15600]","[33.95756, 34.14148]","[33.96690, 34.11235]"
"[450, 475]","[33.86527, 34.23522]","[33.79069, 34.31897]","[33.94666, 34.19624]","[33.93774, 34.24333]","[34.00176, 34.19775]","[33.96971, 34.21936]","[33.85798, 34.30478]","[33.99782, 34.14426]","[33.96540, 34.17139]","[33.97116, 34.16690]","[33.94878, 34.18235]","[33.97881, 34.13483]"
"[475, 550]","[33.92467, 34.21456]","[33.81092, 34.33540]","[33.95875, 34.21812]","[33.98274, 34.22993]","[34.02131, 34.20788]","[33.98834, 34.22871]","[33.89220, 34.29732]","[34.00988, 34.15905]","[33.97902, 34.18672]","[33.96486, 34.20591]","[33.94176, 34.22600]","[33.98609, 34.16646]"
