,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[2.73747, 3.65421]","[2.86348, 3.6772]","[3.27311, 4.38929]","[3.57969, 4.26143]","[2.74515, 3.31329]","[1.49105, 1.94559]","[0.97624, 1.31718]","[1.83913, 2.06647]","[3.54141, 3.65516]","[4.83461, 4.83476]","[4.02649, 5.66438]","[3.53505, 4.36491]"
"[25.0, 30.0]","[2.71145, 3.98544]","[2.85044, 3.95259]","[3.29269, 4.42227]","[3.20094, 4.51831]","[2.30106, 3.62079]","[1.02926, 2.35135]","[0.46057, 1.78503]","[1.19349, 2.5203]","[2.74318, 4.07236]","[3.95955, 5.29108]","[3.86659, 5.60712]","[3.33906, 4.66218]"
"[30.0, 35.0]","[2.68404, 4.02387]","[2.85029, 3.99664]","[3.41867, 4.39449]","[3.1642, 4.68301]","[2.27199, 3.75889]","[0.99363, 2.44862]","[0.42619, 1.84927]","[1.18053, 2.5717]","[2.76308, 4.12235]","[4.00384, 5.3312]","[4.02405, 5.51154]","[3.30782, 4.71696]"
"[35.0, 40.0]","[2.75349, 3.94609]","[2.87579, 3.9957]","[3.44973, 4.47849]","[3.21688, 4.8222]","[2.32577, 3.89679]","[1.01223, 2.54896]","[0.4066, 1.90904]","[1.15164, 2.61978]","[2.75442, 4.18826]","[4.01629, 5.41584]","[4.05142, 5.56954]","[3.31791, 4.73641]"
"[40.0, 45.0]","[2.77393, 4.00229]","[2.91285, 4.03378]","[3.45185, 4.55254]","[3.21446, 4.90016]","[2.32853, 3.96053]","[1.01562, 2.59393]","[0.41045, 1.93508]","[1.16174, 2.63267]","[2.77902, 4.19626]","[4.06041, 5.42396]","[4.11037, 5.58027]","[3.3498, 4.78173]"
"[45.0, 50.0]","[2.79055, 4.06938]","[2.96812, 4.08308]","[3.46889, 4.65577]","[3.27855, 4.95508]","[2.3757, 4.01025]","[1.04009, 2.63267]","[0.41476, 1.96536]","[1.15437, 2.66299]","[2.76834, 4.23497]","[4.05029, 5.47494]","[4.1568, 5.58761]","[3.404, 4.79418]"
"[50.0, 55.0]","[2.84438, 4.14189]","[3.03456, 4.15018]","[3.47316, 4.75106]","[3.33822, 4.95527]","[2.41088, 4.01533]","[1.05789, 2.64974]","[0.40983, 1.98908]","[1.11591, 2.68255]","[2.69617, 4.25021]","[3.96252, 5.50396]","[4.17386, 5.56188]","[3.46301, 4.80391]"
"[55.0, 60.0]","[2.92319, 4.19075]","[3.10123, 4.21076]","[3.50017, 4.7915]","[3.35861, 4.94277]","[2.40803, 4.01115]","[1.04854, 2.67062]","[0.38642, 2.02746]","[1.05621, 2.71621]","[2.59103, 4.26999]","[3.83254, 5.53046]","[4.16008, 5.52852]","[3.50577, 4.81456]"
"[60.0, 65.0]","[3.0003, 4.21511]","[3.19189, 4.24927]","[3.53432, 4.87131]","[3.42442, 4.95459]","[2.44906, 4.01905]","[1.07316, 2.68297]","[0.39575, 2.04539]","[1.04315, 2.73261]","[2.55098, 4.28027]","[3.77419, 5.5433]","[4.1707, 5.49729]","[3.54295, 4.81706]"
"[65.0, 70.0]","[3.08272, 4.23716]","[3.29209, 4.27163]","[3.61525, 4.88451]","[3.4955, 4.93452]","[2.50005, 3.99433]","[1.11513, 2.66467]","[0.42802, 2.03281]","[1.05484, 2.71489]","[2.53606, 4.25136]","[3.7438, 5.51436]","[4.19031, 5.45077]","[3.60231, 4.79961]"
"[70.0, 75.0]","[3.15873, 4.25058]","[3.38118, 4.30031]","[3.68915, 4.92309]","[3.59434, 4.91907]","[2.58601, 3.96239]","[1.19572, 2.62374]","[0.50845, 1.98812]","[1.13297, 2.6643]","[2.60718, 4.19015]","[3.80973, 5.44436]","[4.23723, 5.40899]","[3.68349, 4.76087]"
"[75.0, 80.0]","[3.23934, 4.26744]","[3.47534, 4.32178]","[3.78766, 4.91742]","[3.67538, 4.88991]","[2.65582, 3.91647]","[1.26625, 2.57303]","[0.58388, 1.93679]","[1.20683, 2.60585]","[2.67239, 4.11754]","[3.87066, 5.36193]","[4.28138, 5.36185]","[3.74668, 4.74435]"
"[80.0, 85.0]","[3.3089, 4.27482]","[3.54809, 4.34408]","[3.86294, 4.91805]","[3.76306, 4.84466]","[2.74051, 3.85319]","[1.35706, 2.5008]","[0.68138, 1.85621]","[1.30291, 2.50881]","[2.7613, 3.99828]","[3.95946, 5.22752]","[4.32164, 5.29677]","[3.77829, 4.73928]"
"[85.0, 90.0]","[3.3938, 4.27858]","[3.63516, 4.3543]","[3.92462, 4.91213]","[3.82812, 4.78571]","[2.80536, 3.77555]","[1.43686, 2.41967]","[0.77433, 1.76975]","[1.39337, 2.4014]","[2.83949, 3.86013]","[4.03683, 5.07008]","[4.33298, 5.23909]","[3.83428, 4.71003]"
"[90.0, 95.0]","[3.45874, 4.27257]","[3.71666, 4.34598]","[3.9965, 4.89619]","[3.9022, 4.73813]","[2.87715, 3.71204]","[1.51486, 2.34872]","[0.85986, 1.69268]","[1.47978, 2.31158]","[2.9213, 3.75206]","[4.11895, 4.94868]","[4.37473, 5.17389]","[3.88425, 4.67792]"
"[95.0, 100.0]","[3.49821, 4.29145]","[3.77165, 4.35714]","[4.02627, 4.8982]","[3.95861, 4.66966]","[2.92434, 3.63428]","[1.56776, 2.27661]","[0.92013, 1.62788]","[1.53559, 2.24225]","[2.96224, 3.6678]","[4.15035, 4.85481]","[4.39553, 5.11032]","[3.92531, 4.64692]"
"[100.0, 125.0]","[3.55185, 4.32796]","[3.87535, 4.37272]","[4.13438, 4.86744]","[4.06896, 4.56506]","[3.0077, 3.51481]","[1.64968, 2.16779]","[1.00985, 1.53896]","[1.61852, 2.15864]","[3.01894, 3.57005]","[4.18183, 4.74395]","[4.42818, 5.0125]","[4.01898, 4.56115]"
