,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[29.64088, 32.18429]","[31.76817, 34.14751]","[34.94018, 37.8744]","[33.85225, 35.89313]","[25.16498, 26.86604]","[14.24267, 15.60392]","[9.52144, 10.54288]","[15.0616, 15.74321]","[26.70991, 27.05171]","[35.92679, 35.92877]","[35.41615, 39.32277]","[32.42152, 34.64611]"
"[25.0, 30.0]","[29.6093, 32.75617]","[31.71154, 34.5915]","[34.73105, 37.93856]","[32.90976, 36.32095]","[24.15319, 27.43654]","[13.26425, 16.41976]","[8.44204, 11.46969]","[13.65482, 16.55463]","[24.91773, 27.68969]","[33.96573, 36.60985]","[34.7604, 39.22088]","[31.71227, 35.41019]"
"[30.0, 35.0]","[29.51508, 32.90448]","[31.70371, 34.72837]","[35.02813, 37.91249]","[32.75177, 36.8375]","[24.00341, 27.90151]","[13.07824, 16.78873]","[8.2348, 11.75768]","[13.48155, 16.81681]","[24.81732, 27.96496]","[33.92384, 36.88387]","[35.24407, 38.92959]","[31.63678, 35.58235]"
"[35.0, 40.0]","[29.68663, 32.75596]","[31.78179, 34.74183]","[35.09951, 38.15977]","[32.92666, 37.18567]","[24.17856, 28.25514]","[13.15315, 17.04731]","[8.19531, 11.90704]","[13.40408, 16.9334]","[24.78819, 28.13508]","[33.95551, 37.11998]","[35.37099, 39.06695]","[31.7262, 35.62354]"
"[40.0, 45.0]","[29.74935, 32.92214]","[31.8726, 34.85135]","[35.1169, 38.35104]","[32.9042, 37.43423]","[24.2034, 28.43885]","[13.20321, 17.14407]","[8.26956, 11.91584]","[13.52978, 16.88146]","[25.00074, 28.05784]","[34.26929, 37.03181]","[35.64396, 39.07503]","[31.89092, 35.73171]"
"[45.0, 50.0]","[29.79206, 33.12614]","[32.00758, 34.99803]","[35.18161, 38.61653]","[33.13567, 37.54892]","[24.39884, 28.53725]","[13.33641, 17.19997]","[8.34494, 11.93365]","[13.58027, 16.89414]","[25.06242, 28.10145]","[34.356, 37.12017]","[35.86608, 39.07535]","[32.07572, 35.78343]"
"[50.0, 55.0]","[29.92372, 33.32446]","[32.1765, 35.16619]","[35.24732, 38.84287]","[33.40109, 37.51453]","[24.6082, 28.50416]","[13.49106, 17.16954]","[8.44116, 11.90216]","[13.6194, 16.86291]","[25.06248, 28.08851]","[34.34985, 37.15839]","[36.03009, 39.04793]","[32.28244, 35.83116]"
"[55.0, 60.0]","[30.08912, 33.46451]","[32.32524, 35.31525]","[35.34726, 38.9607]","[33.49744, 37.54514]","[24.67092, 28.51832]","[13.54072, 17.18783]","[8.47947, 11.92628]","[13.6352, 16.88171]","[25.05484, 28.10105]","[34.34191, 37.18782]","[36.11316, 39.0719]","[32.44109, 35.89819]"
"[60.0, 65.0]","[30.2747, 33.54383]","[32.56959, 35.38279]","[35.48502, 39.14415]","[33.74247, 37.57923]","[24.86138, 28.52989]","[13.67762, 17.17789]","[8.5795, 11.91151]","[13.71806, 16.88182]","[25.13238, 28.12789]","[34.41746, 37.24473]","[36.22454, 39.12537]","[32.5821, 35.96639]"
"[65.0, 70.0]","[30.46638, 33.60741]","[32.80867, 35.41879]","[35.73742, 39.15967]","[33.99947, 37.54557]","[25.06229, 28.48361]","[13.82641, 17.12294]","[8.69443, 11.86618]","[13.81999, 16.86696]","[25.233, 28.15519]","[34.51683, 37.31424]","[36.3576, 39.19259]","[32.7884, 35.98749]"
