,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[3.59503, 11.22289]","[3.05964, 9.58562]","[4.43277, 13.55795]","[8.3744, 13.80894]","[7.10604, 11.63497]","[3.42136, 7.04469]","[2.04834, 4.76605]","[6.15553, 7.96764]","[13.82379, 14.73029]","[19.5004, 19.5013]","[12.43197, 24.87593]","[9.21781, 16.58869]"
"[25.0, 30.0]","[3.31103, 14.12137]","[2.94434, 12.09888]","[4.8759, 13.9996]","[5.44413, 16.24557]","[3.65137, 14.31806]","[-0.18503, 10.34689]","[-1.91275, 8.48441]","[1.3304, 11.59279]","[7.9683, 18.09593]","[13.13405, 23.12692]","[11.46275, 24.55615]","[8.22841, 18.62476]"
"[30.0, 35.0]","[3.19737, 14.28785]","[2.98037, 12.4028]","[5.9251, 13.72996]","[5.31799, 17.37565]","[3.57335, 15.23565]","[-0.31902, 10.94793]","[-2.03191, 8.83969]","[1.38449, 11.86074]","[8.27429, 18.35518]","[13.61304, 23.29858]","[12.54911, 23.91175]","[8.10002, 18.88481]"
"[35.0, 40.0]","[3.70408, 13.62821]","[3.18643, 12.35687]","[6.22373, 14.35842]","[5.77962, 18.4586]","[4.03349, 16.29481]","[-0.14334, 11.70031]","[-2.14552, 9.28047]","[1.22119, 12.2295]","[8.28217, 18.87282]","[13.77116, 23.94414]","[12.73293, 24.36554]","[8.09223, 19.03443]"
"[40.0, 45.0]","[3.88175, 14.01876]","[3.51734, 12.63036]","[6.25742, 14.93286]","[5.80704, 18.99974]","[4.05433, 16.75161]","[-0.14701, 12.05486]","[-2.1697, 9.53675]","[1.20572, 12.41675]","[8.31715, 19.03276]","[13.89031, 24.1105]","[13.04304, 24.456]","[8.28103, 19.34609]"
"[45.0, 50.0]","[4.04334, 14.47184]","[3.99942, 12.97574]","[6.40554, 15.7417]","[6.28922, 19.43497]","[4.37947, 17.14485]","[-0.00695, 12.37806]","[-2.18308, 9.82157]","[1.09678, 12.72105]","[8.15568, 19.39959]","[13.69249, 24.55602]","[13.26698, 24.54207]","[8.67066, 19.3821]"
"[50.0, 55.0]","[4.49043, 14.99699]","[4.56378, 13.47786]","[6.42033, 16.49938]","[6.69243, 19.44358]","[4.56752, 17.19979]","[0.04397, 12.55737]","[-2.31094, 10.08358]","[0.68042, 12.95606]","[7.42387, 19.58064]","[12.78919, 24.82708]","[13.24098, 24.32592]","[9.09717, 19.3896]"
"[55.0, 60.0]","[5.1571, 15.33861]","[5.14573, 13.93035]","[6.63071, 16.79711]","[6.8415, 19.26915]","[4.49231, 17.12704]","[-0.09829, 12.74351]","[-2.59089, 10.458]","[0.04785, 13.30381]","[6.3392, 19.80224]","[11.43254, 25.10266]","[12.97247, 23.98911]","[9.39622, 19.39797]"
"[60.0, 65.0]","[5.78592, 15.48888]","[5.88408, 14.22772]","[6.88096, 17.42269]","[7.30783, 19.33643]","[4.72612, 17.1936]","[-0.00713, 12.89924]","[-2.64099, 10.70427]","[-0.23515, 13.549]","[5.75888, 19.98191]","[10.63474, 25.29665]","[12.90546, 23.6629]","[9.64673, 19.33046]"
"[65.0, 70.0]","[6.45935, 15.6375]","[6.72191, 14.39224]","[7.50653, 17.51246]","[7.80741, 19.13909]","[5.03692, 16.986]","[0.23114, 12.79761]","[-2.49566, 10.6882]","[-0.31691, 13.48434]","[5.37027, 19.78891]","[10.05001, 25.08604]","[12.89437, 23.17307]","[10.04387, 19.12115]"
"[70.0, 75.0]","[7.05478, 15.72279]","[7.45189, 14.60873]","[8.06516, 17.81616]","[8.56755, 18.95789]","[5.6743, 16.69673]","[0.8269, 12.48142]","[-1.91523, 10.37137]","[0.18866, 13.10736]","[5.73562, 19.2864]","[10.3094, 24.49227]","[13.10114, 22.73201]","[10.58042, 18.76874]"
"[75.0, 80.0]","[7.65934, 15.83895]","[8.20669, 14.77557]","[8.81887, 17.78188]","[9.17666, 18.69858]","[6.19284, 16.29983]","[1.37032, 12.06239]","[-1.3226, 9.95453]","[0.74303, 12.60523]","[6.16663, 18.6139]","[10.66209, 23.69443]","[13.3149, 22.2239]","[10.97173, 18.57627]"
"[80.0, 85.0]","[8.16404, 15.87913]","[8.78488, 14.94371]","[9.39128, 17.79459]","[9.84919, 18.31056]","[6.85619, 15.74773]","[2.11441, 11.43612]","[-0.49877, 9.25312]","[1.55192, 11.73398]","[6.88759, 17.49983]","[11.35648, 22.3989]","[13.53048, 21.56379]","[11.13805, 18.4508]"
"[85.0, 90.0]","[8.77026, 15.89854]","[9.46749, 15.02538]","[9.86691, 17.76006]","[10.33976, 17.83949]","[7.36226, 15.09956]","[2.77197, 10.74684]","[0.29307, 8.5055]","[2.3279, 10.7779]","[7.54333, 16.23089]","[11.98401, 20.90914]","[13.49091, 20.98837]","[11.48886, 18.13092]"
"[90.0, 95.0]","[9.23612, 15.84526]","[10.10853, 14.94896]","[10.38467, 17.6367]","[10.86366, 17.4275]","[7.90576, 14.51877]","[3.42446, 10.08664]","[1.05777, 7.76912]","[3.11827, 9.87879]","[8.28845, 15.09814]","[12.73252, 19.59139]","[13.72057, 20.32367]","[11.78027, 17.824]"
"[95.0, 100.0]","[9.4874, 15.97417]","[10.52626, 15.01893]","[10.60263, 17.63801]","[11.24362, 16.90203]","[8.24323, 13.88436]","[3.84855, 9.4724]","[1.57944, 7.18602]","[3.62528, 9.21458]","[8.67923, 14.25126]","[13.04938, 18.60414]","[13.76668, 19.74687]","[12.01389, 17.52025]"
"[100.0, 125.0]","[9.73308, 16.2649]","[11.17923, 15.22735]","[11.40373, 17.36298]","[11.93081, 16.12802]","[8.7079, 12.99009]","[4.31699, 8.68414]","[2.11681, 6.56894]","[4.07283, 8.60993]","[8.84327, 13.46534]","[12.94492, 17.65195]","[13.79772, 18.75438]","[12.37521, 16.88776]"
