,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[6.52568, 11.97926]","[6.20806, 9.05446]","[5.08931, 10.22785]","[8.27163, 8.28033]","[6.34271, 11.6013]","[5.01104, 15.51951]","[4.12884, 21.59189]","[3.72758, 29.08834]","[15.27874, 23.22597]","[15.6928, 23.46779]","[11.88793, 22.02785]","[9.72771, 15.85809]"
"[25.0, 30.0]","[4.3626, 15.40657]","[1.74518, 14.87734]","[3.69488, 12.43257]","[4.18121, 13.24479]","[-1.78239, 21.86043]","[-1.47446, 25.74586]","[1.75143, 28.12164]","[4.6151, 30.85916]","[9.80483, 28.87089]","[12.75882, 24.87019]","[10.18427, 22.33815]","[7.8673, 17.75539]"
"[30.0, 35.0]","[4.49912, 14.96638]","[1.98611, 13.91513]","[4.24554, 11.38064]","[4.97879, 12.37756]","[0.47763, 19.35246]","[-0.06374, 23.00788]","[0.54574, 26.67608]","[3.88722, 28.42773]","[8.37925, 27.92001]","[11.62719, 25.12226]","[10.09365, 22.65319]","[7.99559, 17.92794]"
"[35.0, 40.0]","[4.72269, 15.18377]","[1.95668, 14.36879]","[2.86134, 13.34003]","[4.91633, 12.94302]","[0.41334, 19.13267]","[0.38407, 20.82424]","[0.86469, 23.24421]","[4.23625, 24.54347]","[6.78147, 26.78884]","[9.69726, 25.79173]","[10.2625, 22.45]","[8.11771, 18.26599]"
"[40.0, 45.0]","[4.92319, 15.71177]","[1.97727, 14.8691]","[1.02853, 15.50848]","[4.69876, 13.45628]","[0.32456, 19.37877]","[0.65072, 20.18743]","[1.82231, 21.06785]","[4.60109, 22.27203]","[7.06816, 24.58049]","[7.83389, 26.46852]","[10.3402, 22.21955]","[8.21646, 18.7423]"
"[45.0, 50.0]","[5.11247, 16.19741]","[3.61715, 13.71809]","[0.48208, 16.36575]","[4.6043, 13.89703]","[1.00899, 19.12063]","[1.41968, 19.63054]","[2.41104, 20.08233]","[4.8182, 20.97725]","[7.39803, 22.91983]","[6.9856, 26.3863]","[10.30669, 22.10947]","[8.33756, 19.12302]"
"[50.0, 55.0]","[6.0391, 16.0615]","[4.19466, 13.95985]","[1.46155, 16.01658]","[4.5264, 14.4345]","[1.72286, 18.77766]","[2.03239, 19.23882]","[3.0088, 19.34945]","[5.0527, 20.12268]","[7.82277, 21.5582]","[7.09144, 25.46493]","[10.28352, 21.86219]","[8.34805, 19.49776]"
"[55.0, 60.0]","[6.56022, 16.43281]","[4.99759, 14.11243]","[1.5959, 16.51046]","[4.44859, 14.80167]","[2.33091, 18.37729]","[2.54507, 19.01819]","[3.64294, 18.94409]","[5.5143, 19.51787]","[8.05773, 20.7121]","[7.207, 24.59078]","[10.06871, 21.70897]","[8.40938, 19.77925]"
"[60.0, 65.0]","[6.58765, 17.4407]","[5.38462, 14.89381]","[2.19883, 16.75323]","[4.43426, 15.26527]","[3.04547, 17.97873]","[3.06588, 18.91398]","[4.2617, 18.75383]","[6.07386, 19.07623]","[8.23738, 20.16545]","[7.55921, 23.63788]","[10.0611, 21.42669]","[8.65087, 19.95489]"
"[65.0, 70.0]","[6.78303, 18.03142]","[5.76804, 15.67454]","[2.88249, 17.32342]","[4.42856, 16.3756]","[4.05913, 17.82436]","[3.72961, 18.86318]","[4.78807, 18.58557]","[6.59142, 18.61892]","[8.49653, 19.67611]","[8.11656, 22.71864]","[10.11521, 21.17583]","[9.07925, 19.77684]"
"[70.0, 75.0]","[7.64384, 18.0465]","[6.30787, 16.08403]","[4.0833, 16.76004]","[3.75219, 17.35951]","[4.76963, 17.37695]","[4.41159, 18.62853]","[5.41215, 18.48862]","[7.15684, 18.31958]","[8.80018, 19.17529]","[8.75787, 21.62251]","[10.20218, 20.86609]","[9.56831, 19.65595]"
"[75.0, 80.0]","[8.99218, 17.43021]","[7.07402, 16.28997]","[5.12822, 16.54116]","[3.96208, 17.67645]","[5.50595, 17.01296]","[5.11979, 18.34811]","[6.07037, 18.31496]","[7.76708, 18.01909]","[9.17243, 18.72934]","[9.3726, 20.63859]","[10.35333, 20.43503]","[10.10779, 19.31058]"
"[80.0, 85.0]","[9.55355, 17.42537]","[8.01643, 16.13672]","[5.31652, 17.0933]","[4.24145, 17.94969]","[6.35816, 16.58856]","[5.78596, 18.10402]","[6.77307, 18.01999]","[8.3579, 17.66507]","[9.52792, 18.30638]","[10.07299, 19.64381]","[10.49745, 20.05961]","[10.65373, 18.89209]"
"[85.0, 90.0]","[10.10894, 17.56769]","[9.19324, 15.91568]","[7.39403, 15.84056]","[5.55073, 17.13846]","[7.04315, 16.18455]","[6.39246, 17.78887]","[7.88838, 17.27287]","[9.14191, 17.15412]","[10.01454, 17.79156]","[10.81257, 18.60761]","[10.9006, 19.41399]","[11.25708, 18.46813]"
"[90.0, 95.0]","[10.51968, 17.32543]","[9.90037, 15.59537]","[6.03537, 17.69861]","[5.58495, 17.58216]","[7.65591, 15.9464]","[6.93552, 17.50747]","[8.25525, 17.07337]","[9.46677, 16.89987]","[10.3481, 17.4108]","[11.17011, 18.09748]","[11.24401, 18.89972]","[11.77148, 17.90109]"
"[95.0, 100.0]","[10.55137, 17.23411]","[9.931, 15.49417]","[7.09935, 16.60055]","[6.36101, 16.93361]","[8.36637, 15.58897]","[7.40322, 17.51652]","[9.15105, 16.5557]","[10.10045, 16.36763]","[10.61738, 16.96763]","[11.62733, 17.35358]","[11.35642, 18.56277]","[12.21328, 17.34985]"
"[100.0, 125.0]","[11.49431, 16.21151]","[10.21629, 14.98066]","[6.51386, 16.86484]","[7.23238, 15.76795]","[8.71472, 15.04464]","[8.07277, 16.71374]","[9.6709, 15.87361]","[10.02635, 16.20775]","[10.45566, 16.88075]","[11.43782, 17.38031]","[11.52624, 18.35214]","[12.57844, 16.98873]"
