,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[34.75637, 34.81863]","[34.96992, 35.02181]","[35.18348, 35.22499]","[35.39704, 35.42817]","[35.61059, 35.63135]","[35.82415, 35.83453]","[36.03771, 36.03771]","[35.61059, 35.63135]","[35.18348, 35.22499]","[34.75637, 34.81863]","[34.32925, 34.41227]","[34.54281, 34.61545]"
"[25.0, 30.0]","[31.83472, 36.18234]","[32.08921, 35.56739]","[31.93052, 35.68392]","[31.91488, 35.9437]","[30.93889, 37.28723]","[30.86681, 37.69762]","[31.22232, 37.60383]","[31.91061, 37.12803]","[31.67473, 37.5244]","[32.48456, 36.73673]","[32.42081, 36.58091]","[32.23956, 36.30552]"
"[30.0, 35.0]","[32.05345, 36.0647]","[31.8204, 35.87222]","[31.8466, 35.78234]","[32.14872, 35.76798]","[31.20026, 37.14632]","[31.12348, 37.57518]","[31.17735, 37.72874]","[31.35239, 37.69307]","[31.95271, 37.23149]","[32.23811, 37.01952]","[32.76163, 36.35226]","[32.3576, 36.32915]"
"[35.0, 40.0]","[32.22199, 36.02923]","[31.9983, 35.8944]","[32.03645, 35.90978]","[31.99745, 36.29494]","[31.60732, 37.03206]","[31.57712, 37.22313]","[31.40318, 37.43382]","[31.54087, 37.39794]","[31.53116, 37.6412]","[32.2685, 37.1015]","[32.95166, 36.32806]","[32.51867, 36.31308]"
"[40.0, 45.0]","[32.28777, 36.206]","[32.14945, 35.94141]","[32.09165, 36.01804]","[32.08854, 36.35696]","[31.76, 37.02686]","[31.62632, 37.29422]","[31.69113, 37.21932]","[32.0614, 36.91932]","[32.0251, 37.20918]","[32.42918, 37.07431]","[33.14038, 36.35439]","[32.62668, 36.46201]"
"[45.0, 50.0]","[32.42178, 36.28543]","[32.61906, 36.2371]","[31.79446, 36.23811]","[32.0483, 36.04774]","[31.98519, 36.88727]","[31.67066, 37.22362]","[31.92888, 37.29705]","[32.0133, 36.70512]","[32.17847, 37.01076]","[32.37416, 37.09814]","[33.38305, 36.43896]","[32.59438, 36.39592]"
"[50.0, 55.0]","[32.57841, 36.31969]","[32.71515, 36.35364]","[31.90484, 36.20233]","[32.35337, 36.12802]","[32.24647, 36.76888]","[31.84752, 37.22925]","[32.03972, 37.33896]","[32.23555, 36.60728]","[32.39522, 36.89707]","[32.42, 37.17736]","[33.51098, 36.46405]","[32.76872, 36.49248]"
"[55.0, 60.0]","[32.71467, 36.36814]","[32.91795, 36.31248]","[31.99597, 36.27728]","[32.53885, 36.18302]","[32.47121, 36.65409]","[32.0886, 37.20098]","[32.30473, 37.27817]","[32.51976, 36.56746]","[32.60904, 36.85524]","[32.49907, 37.18069]","[33.62283, 36.5259]","[33.00842, 36.54744]"
"[60.0, 65.0]","[32.88057, 36.40321]","[33.11167, 36.30729]","[32.02838, 36.39104]","[32.58164, 36.43728]","[32.72656, 36.67896]","[32.34467, 37.09102]","[32.55046, 37.26817]","[32.84156, 36.59178]","[32.80034, 36.87135]","[32.66472, 37.15006]","[33.65631, 36.63065]","[33.26116, 36.57154]"
"[65.0, 70.0]","[33.21216, 36.55993]","[33.16069, 36.14562]","[32.36789, 36.75961]","[32.71271, 36.58715]","[32.96344, 36.65739]","[32.64389, 37.18779]","[32.77162, 37.088]","[33.23061, 36.62294]","[33.01562, 36.97221]","[32.97826, 37.26449]","[33.7633, 36.63033]","[33.56478, 36.66255]"
"[70.0, 75.0]","[33.44524, 36.55277]","[33.36302, 36.19007]","[32.56746, 36.78673]","[32.83827, 36.6461]","[33.15991, 36.6194]","[32.88753, 37.1133]","[33.05382, 37.00599]","[33.50542, 36.56443]","[33.21532, 36.97212]","[33.14115, 37.26969]","[33.90393, 36.64683]","[33.76794, 36.64261]"
"[75.0, 80.0]","[33.67039, 36.53099]","[33.58747, 36.188]","[32.73091, 36.83248]","[33.05677, 36.60111]","[33.35495, 36.57298]","[33.10757, 37.05198]","[33.30888, 36.94585]","[33.75784, 36.53587]","[33.51582, 36.89181]","[33.42634, 37.17558]","[34.05581, 36.66301]","[33.95807, 36.62729]"
"[80.0, 85.0]","[33.86872, 36.50223]","[33.77011, 36.18456]","[33.14079, 36.60042]","[33.31579, 36.50853]","[33.54951, 36.53496]","[33.36421, 36.95388]","[33.58889, 36.83713]","[33.98717, 36.48945]","[33.74871, 36.84148]","[33.71519, 37.05766]","[34.23245, 36.64593]","[34.14372, 36.60094]"
