,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[17.36733, 17.5876]","[18.54006, 18.72361]","[19.71278, 19.85963]","[20.88551, 20.99565]","[22.05824, 22.13166]","[23.23097, 23.26768]","[24.4037, 24.4037]","[22.05824, 22.13166]","[19.71278, 19.85963]","[17.36733, 17.5876]","[15.02187, 15.31557]","[16.1946, 16.45158]"
"[25.0, 30.0]","[4.6563, 17.33591]","[3.93272, 14.41416]","[3.20149, 14.27238]","[2.09402, 16.93128]","[0.03121, 22.27867]","[-0.60575, 27.35946]","[1.74563, 30.00228]","[6.01416, 30.21569]","[7.30569, 31.3867]","[12.68696, 25.20691]","[10.60696, 23.16573]","[8.31804, 19.42128]"
"[30.0, 35.0]","[5.25796, 17.07304]","[3.11458, 15.1955]","[2.97172, 14.40404]","[2.9192, 16.0997]","[1.75677, 20.27991]","[1.30255, 24.31486]","[0.13925, 29.42188]","[3.71717, 29.85648]","[6.27172, 30.31119]","[10.6903, 26.3328]","[11.46944, 22.54426]","[8.73481, 19.62323]"
"[35.0, 40.0]","[5.83822, 16.88914]","[3.63208, 15.10567]","[3.27613, 14.88184]","[2.32805, 17.66556]","[1.89571, 20.53276]","[1.28191, 23.35358]","[0.48459, 26.68844]","[3.64985, 27.03567]","[5.4881, 28.91833]","[9.05736, 27.13166]","[11.987, 22.24427]","[9.01934, 19.86379]"
"[40.0, 45.0]","[6.05022, 17.43075]","[4.02609, 15.1444]","[3.13584, 15.22036]","[2.66706, 17.47719]","[2.01904, 20.40738]","[0.95759, 23.11652]","[1.80645, 23.95143]","[5.35824, 23.29743]","[5.68337, 26.82472]","[7.73158, 27.43929]","[12.10165, 22.19974]","[9.29767, 20.3179]"
"[45.0, 50.0]","[6.55155, 17.80216]","[4.60863, 15.16272]","[2.3446, 16.20711]","[3.45501, 16.75205]","[2.82601, 19.76147]","[1.59656, 22.56677]","[2.47937, 22.84754]","[5.77101, 21.70178]","[6.33986, 24.57795]","[6.82554, 27.09877]","[12.07362, 21.90675]","[9.62634, 20.5528]"
"[50.0, 55.0]","[7.11775, 18.04082]","[5.05334, 15.60523]","[2.98767, 16.21881]","[4.14853, 16.42563]","[3.68913, 19.07297]","[2.22203, 21.94625]","[2.97329, 22.05985]","[6.32026, 20.43772]","[6.8719, 23.02451]","[6.33111, 26.65912]","[11.80162, 21.77583]","[9.95777, 20.52716]"
"[55.0, 60.0]","[7.62089, 18.24967]","[5.79375, 15.71903]","[3.2569, 16.58146]","[4.50703, 16.38967]","[4.3693, 18.55646]","[3.07506, 21.22767]","[3.82024, 21.23768]","[7.02227, 19.44515]","[7.505, 21.72769]","[6.41984, 25.79367]","[11.50271, 21.63001]","[10.41111, 20.25378]"
"[60.0, 65.0]","[8.11266, 18.33249]","[6.46045, 15.82062]","[3.43976, 17.04492]","[4.25038, 17.07398]","[5.1612, 18.0807]","[4.02427, 20.579]","[4.55815, 20.69851]","[7.51696, 18.84325]","[8.04319, 20.69526]","[6.90948, 24.63168]","[11.10551, 21.57864]","[10.85173, 19.88919]"
"[65.0, 70.0]","[8.58771, 18.40824]","[7.15361, 15.88901]","[3.6322, 17.45777]","[4.32487, 17.32656]","[5.80893, 17.6393]","[4.69956, 20.18075]","[5.53121, 20.04252]","[8.15166, 18.31937]","[8.53947, 19.9109]","[7.56351, 23.4081]","[11.15905, 21.07179]","[11.24644, 19.52564]"
"[70.0, 75.0]","[9.15651, 18.3299]","[7.81209, 16.02145]","[4.0718, 17.73141]","[4.56324, 17.51963]","[6.43609, 17.2514]","[5.45534, 19.67818]","[6.39329, 19.49679]","[8.78822, 17.87634]","[9.0665, 19.2365]","[8.2491, 22.26072]","[11.20097, 20.58263]","[11.6299, 19.09955]"
"[75.0, 80.0]","[9.63118, 18.27104]","[8.49137, 16.02828]","[4.5111, 17.92415]","[4.98726, 17.49167]","[7.0521, 16.86943]","[6.05494, 19.33277]","[7.16122, 19.05198]","[9.30301, 17.59124]","[9.5501, 18.6871]","[9.07939, 21.0742]","[11.27943, 20.13307]","[11.95977, 18.72802]"
"[80.0, 85.0]","[10.05192, 18.15323]","[9.03048, 16.04534]","[5.79774, 17.19871]","[5.70841, 17.17438]","[7.64499, 16.54703]","[6.72402, 18.91752]","[7.89069, 18.59365]","[9.6948, 17.37306]","[9.91988, 18.24769]","[9.77783, 20.06956]","[11.37952, 19.70443]","[12.24238, 18.37171]"
"[85.0, 90.0]","[10.2839, 18.15966]","[9.38357, 16.16382]","[6.38437, 17.1285]","[6.50094, 16.78811]","[8.22266, 16.23795]","[7.26, 18.57439]","[8.3907, 18.24771]","[9.98025, 17.15226]","[10.23228, 17.83125]","[10.41509, 19.17081]","[11.51169, 19.30473]","[12.46767, 18.07846]"
"[90.0, 95.0]","[10.47747, 18.19881]","[9.77441, 16.21832]","[6.91581, 17.06109]","[6.99538, 16.63118]","[8.72922, 15.93727]","[7.77638, 18.215]","[9.0236, 17.76504]","[10.2652, 16.94851]","[10.50549, 17.47387]","[10.84073, 18.49729]","[11.62377, 18.93281]","[12.65173, 17.83013]"
"[95.0, 100.0]","[10.82817, 17.96274]","[10.41558, 15.99237]","[7.10943, 17.37945]","[7.27908, 16.72929]","[9.17861, 15.65912]","[8.22117, 17.81565]","[9.38148, 17.44239]","[10.53088, 16.71456]","[10.71691, 17.18956]","[11.17932, 17.911]","[11.65425, 18.56809]","[12.68011, 17.60119]"
"[100.0, 125.0]","[11.43224, 17.32533]","[11.50581, 15.77186]","[9.37515, 16.41253]","[9.20093, 15.88082]","[10.46669, 14.85572]","[9.47117, 16.55251]","[10.46228, 16.14051]","[11.19558, 15.73555]","[11.19146, 16.15079]","[11.50042, 16.62046]","[11.71542, 17.31635]","[12.38829, 17.02107]"
"[125.0, 150.0]","[13.13159, 15.4882]","[12.4207, 14.7374]","[10.97841, 14.63332]","[10.37925, 14.42022]","[10.69499, 14.17389]","[10.34031, 14.9865]","[11.91575, 13.73032]","[11.56028, 14.25096]","[11.33984, 14.91278]","[12.29432, 14.96208]","[12.08684, 16.39667]","[12.67334, 16.45725]"
