,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[32.2131, 33.73147]","[31.88045, 34.10621]","[33.10415, 33.4381]","[30.21228, 36.78204]","[30.38434, 36.75638]","[30.06572, 37.26359]","[30.49582, 37.48192]","[31.88388, 37.10941]","[32.63708, 37.07962]","[32.91323, 36.57278]","[32.12868, 36.15331]","[32.4187, 34.39567]"
"[25.0, 30.0]","[31.81409, 34.41818]","[31.93803, 34.1194]","[31.57665, 34.68377]","[32.52107, 33.99411]","[29.80859, 36.80958]","[30.22292, 36.4552]","[30.34403, 36.60662]","[31.09368, 36.40434]","[31.59581, 36.4414]","[31.58809, 36.56401]","[31.78952, 35.88707]","[32.17774, 34.69671]"
"[30.0, 35.0]","[31.87371, 34.38957]","[32.10023, 33.94309]","[30.81308, 35.45312]","[32.47688, 34.12415]","[30.51314, 36.25614]","[30.79269, 36.01553]","[30.60487, 36.37371]","[30.9207, 36.50283]","[31.55394, 36.38757]","[31.544, 36.57854]","[31.96284, 35.76645]","[32.08439, 34.86511]"
"[35.0, 40.0]","[31.87797, 34.49544]","[32.15563, 33.95466]","[31.08734, 35.16883]","[32.00375, 34.52785]","[30.96041, 35.72898]","[31.1625, 35.59164]","[31.10364, 35.84524]","[31.31149, 36.08336]","[31.49016, 36.41547]","[31.45472, 36.64929]","[31.80788, 35.95551]","[32.01977, 35.02221]"
"[40.0, 45.0]","[31.88193, 34.57388]","[32.19735, 34.00308]","[30.94493, 35.45504]","[32.43305, 34.27414]","[30.67264, 36.14522]","[31.11097, 35.66326]","[31.24109, 35.64067]","[31.58323, 35.7503]","[31.62813, 36.30847]","[31.58446, 36.65115]","[31.76756, 36.16098]","[31.88209, 35.28747]"
"[45.0, 50.0]","[31.78628, 34.81798]","[32.23798, 34.08605]","[30.40781, 36.07272]","[32.35719, 34.42532]","[30.76781, 36.17009]","[31.17425, 35.76901]","[31.32212, 35.72436]","[31.68286, 35.74818]","[31.69612, 36.2596]","[31.6799, 36.5507]","[31.81746, 36.15342]","[31.7783, 35.50603]"
"[50.0, 55.0]","[31.69371, 35.07816]","[32.17077, 34.31861]","[29.65698, 36.97463]","[32.40956, 34.52028]","[30.88639, 36.21141]","[31.28957, 35.82521]","[31.43069, 35.77616]","[31.73042, 35.82528]","[31.72181, 36.32175]","[31.73254, 36.57653]","[31.87132, 36.20344]","[31.69288, 35.73481]"
"[55.0, 60.0]","[31.58987, 35.42775]","[31.96424, 34.7403]","[30.66432, 36.13766]","[32.36456, 34.71469]","[31.01592, 36.24608]","[31.41925, 35.88647]","[31.51493, 35.88837]","[31.79788, 35.93077]","[31.76011, 36.43001]","[31.89153, 36.56795]","[32.01343, 36.25103]","[31.5942, 36.06764]"
"[60.0, 65.0]","[31.21841, 36.13952]","[31.80147, 35.2105]","[30.62041, 36.3724]","[32.5082, 34.65557]","[31.25851, 36.08227]","[31.66722, 35.81269]","[31.61659, 36.06908]","[31.98493, 36.0563]","[31.962, 36.4858]","[32.08257, 36.57206]","[32.14104, 36.32699]","[31.50844, 36.43307]"
"[65.0, 70.0]","[31.72376, 35.76166]","[31.73279, 35.48454]","[30.81502, 36.39933]","[32.49924, 34.85026]","[31.12648, 36.37061]","[31.60993, 36.04592]","[31.53858, 36.3724]","[32.08697, 36.19667]","[32.10725, 36.52844]","[32.19519, 36.54983]","[32.39895, 36.09392]","[31.74889, 36.23617]"
"[70.0, 75.0]","[33.08369, 34.35623]","[32.0892, 35.14067]","[29.94749, 37.24184]","[32.51883, 34.70237]","[32.24003, 35.04879]","[31.71633, 35.7376]","[31.85141, 35.92884]","[32.47089, 35.73755]","[32.24233, 36.30159]","[32.63806, 35.95081]","[32.67973, 35.62336]","[31.49021, 36.35283]"
