,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[15.0, 20.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[17.60947, 17.89841]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[20.0, 25.0]","[13.05261, 13.73903]","[10.1492, 10.49712]","[9.17266, 9.18208]","[5.70597, 16.03458]","[6.87257, 22.80438]","[14.18089, 24.42727]","[18.61782, 26.31365]","[20.5966, 26.57552]","[22.99897, 23.15998]","[19.87608, 23.49698]","[18.60203, 20.7393]","[16.25955, 17.45532]"
"[25.0, 30.0]","[6.86063, 16.71309]","[4.99158, 16.93053]","[4.50041, 18.32526]","[6.70135, 18.18007]","[4.54477, 22.91119]","[2.32494, 28.61283]","[4.3573, 31.19748]","[10.1425, 30.00993]","[11.23894, 31.18151]","[13.06206, 27.52819]","[12.58269, 22.48698]","[8.37206, 20.04422]"
"[30.0, 35.0]","[7.12573, 17.00139]","[4.75708, 17.62358]","[5.69823, 17.45968]","[9.24077, 15.7484]","[4.96345, 22.11849]","[1.88068, 27.95443]","[2.07387, 31.69854]","[8.26455, 29.87611]","[10.28977, 30.51997]","[13.76045, 26.04259]","[11.95413, 23.13435]","[9.2699, 19.61907]"
"[35.0, 40.0]","[9.31046, 15.5217]","[8.56198, 14.11776]","[4.85485, 18.30999]","[7.03035, 17.88553]","[5.34379, 21.42235]","[1.27158, 27.49235]","[1.50343, 30.11211]","[7.69524, 27.55918]","[8.42481, 29.73663]","[10.94114, 27.37493]","[13.83503, 21.14433]","[10.58756, 19.00188]"
"[40.0, 45.0]","[6.8948, 18.98667]","[8.33275, 14.66536]","[4.89384, 18.01871]","[7.70138, 16.94379]","[5.83961, 20.82732]","[3.95524, 24.41858]","[1.88558, 28.42543]","[7.18075, 25.84351]","[8.72802, 27.12077]","[10.44441, 26.58085]","[12.7848, 22.38882]","[10.31872, 20.40903]"
"[45.0, 50.0]","[7.3757, 19.46003]","[9.13957, 15.35381]","[6.39693, 17.98106]","[7.71609, 17.88368]","[7.27184, 19.63844]","[4.85307, 23.10494]","[3.17589, 26.20703]","[7.67448, 24.0498]","[9.0109, 25.34419]","[9.76243, 25.88729]","[12.39483, 21.94537]","[10.05071, 20.72634]"
"[50.0, 55.0]","[8.30016, 19.05254]","[9.31711, 15.66493]","[6.08497, 18.59466]","[7.06629, 18.7011]","[7.3594, 19.61714]","[4.64803, 23.11687]","[4.02336, 24.65698]","[7.99283, 22.46206]","[8.9311, 23.90014]","[9.55398, 24.85956]","[12.16348, 21.63702]","[10.32601, 20.61219]"
"[55.0, 60.0]","[8.4673, 19.39042]","[9.90551, 15.67472]","[7.71003, 17.4063]","[8.05949, 17.94539]","[7.90985, 19.17711]","[5.41716, 22.32004]","[5.36011, 23.00673]","[8.43906, 21.28892]","[9.41415, 22.37716]","[9.82561, 23.59295]","[12.16003, 21.09279]","[10.7566, 20.24653]"
"[60.0, 65.0]","[8.5329, 19.49279]","[10.37024, 15.57384]","[8.6497, 16.7652]","[8.35652, 17.70562]","[8.47364, 18.45959]","[6.21882, 21.31449]","[6.23599, 21.98337]","[9.10109, 20.48564]","[10.11383, 21.41665]","[10.35635, 22.65566]","[11.95525, 20.8999]","[10.82374, 20.01678]"
