,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[15.0, 20.0]","[3.05446, 4.46087]","[2.949, 4.40827]","[3.59085, 4.77477]","[3.9563, 4.96578]","[3.27532, 4.39865]","[1.95938, 3.14093]","[0.99954, 2.23931]","[1.24696, 2.54495]","[2.55527, 3.91147]","[3.89202, 5.30644]","[4.60828, 5.44328]","[3.92421, 5.01783]"
"[20.0, 25.0]","[3.39491, 4.72419]","[3.21663, 4.76173]","[3.28483, 4.59574]","[3.32294, 4.5629]","[3.26062, 4.92649]","[3.75459, 5.10946]","[4.06591, 5.63545]","[5.06816, 5.2122]","[5.04575, 5.23974]","[4.19202, 5.55727]","[3.87718, 5.13258]","[3.61249, 4.813]"
"[25.0, 30.0]","[3.1903, 4.73264]","[3.08523, 4.66172]","[2.91975, 4.88787]","[2.99439, 4.9826]","[3.0482, 5.16964]","[2.75161, 5.83384]","[3.1019, 5.99113]","[3.59445, 6.0]","[3.69671, 6.0]","[3.91897, 5.73029]","[3.83235, 5.24866]","[3.52293, 4.88533]"
"[30.0, 35.0]","[3.25409, 4.74068]","[3.19545, 4.61243]","[3.00518, 4.85388]","[3.06382, 4.95036]","[3.10183, 5.11178]","[2.73603, 5.77027]","[2.86889, 6.0]","[3.20365, 6.0]","[3.45672, 6.0]","[3.7459, 5.82697]","[3.8592, 5.23454]","[3.60765, 4.86439]"
"[35.0, 40.0]","[3.28347, 4.80298]","[3.27295, 4.59571]","[3.06519, 4.83297]","[3.06557, 4.98262]","[3.20677, 5.01608]","[2.73408, 5.70446]","[2.81035, 5.94598]","[3.19262, 5.95413]","[3.35099, 6.0]","[3.69259, 5.7515]","[3.91934, 5.17746]","[3.6299, 4.92646]"
"[40.0, 45.0]","[3.37696, 4.77315]","[3.32542, 4.60933]","[3.18486, 4.77162]","[3.16461, 4.92784]","[3.30457, 4.9302]","[2.82652, 5.56434]","[2.81917, 5.81678]","[3.2864, 5.68941]","[3.37065, 5.90316]","[3.66166, 5.67141]","[3.93344, 5.13281]","[3.66143, 4.92899]"
"[45.0, 50.0]","[3.39843, 4.82392]","[3.39377, 4.59973]","[3.26196, 4.73391]","[3.23217, 4.89116]","[3.36281, 4.89065]","[2.91015, 5.45847]","[2.93339, 5.61002]","[3.362, 5.45729]","[3.39791, 5.7072]","[3.66598, 5.55283]","[3.96486, 5.07678]","[3.71537, 4.92294]"
"[50.0, 55.0]","[3.50505, 4.85068]","[3.48832, 4.62952]","[3.35674, 4.70693]","[3.26954, 4.86769]","[3.44676, 4.79785]","[3.04746, 5.30599]","[2.96341, 5.54169]","[3.4302, 5.30288]","[3.49694, 5.483]","[3.60331, 5.50569]","[3.96902, 5.04249]","[3.77239, 4.93759]"
"[55.0, 60.0]","[3.77104, 4.64202]","[3.74926, 4.41376]","[3.63665, 4.46058]","[3.66676, 4.50861]","[3.5589, 4.73236]","[3.16731, 5.21928]","[3.07707, 5.41667]","[3.49279, 5.17648]","[3.56627, 5.32712]","[3.60937, 5.43873]","[4.15628, 4.85044]","[3.89447, 4.8586]"
"[60.0, 65.0]","[3.58209, 4.899]","[3.59949, 4.63327]","[3.55397, 4.59126]","[3.47941, 4.72203]","[3.6253, 4.68175]","[3.24995, 5.14498]","[3.24697, 5.23503]","[3.57935, 5.04489]","[3.61069, 5.21165]","[3.59867, 5.38411]","[4.02028, 4.96298]","[3.79399, 4.99082]"
"[65.0, 70.0]","[3.59444, 4.89342]","[3.63205, 4.64191]","[3.67019, 4.53141]","[3.53703, 4.71205]","[3.68869, 4.64546]","[3.33652, 5.06905]","[3.38616, 5.09916]","[3.67943, 4.94209]","[3.66821, 5.13795]","[3.62958, 5.31906]","[3.97611, 4.96516]","[3.90083, 4.85674]"
"[70.0, 75.0]","[3.60406, 4.8851]","[3.67494, 4.61158]","[3.72405, 4.49499]","[3.63878, 4.62932]","[3.7344, 4.62012]","[3.44399, 4.98183]","[3.49899, 5.0006]","[3.76438, 4.85772]","[3.75942, 5.03044]","[3.69481, 5.22639]","[3.98758, 4.92733]","[3.93165, 4.81169]"
"[75.0, 80.0]","[3.64226, 4.88461]","[3.73253, 4.59952]","[3.79899, 4.45813]","[3.67293, 4.62034]","[3.7763, 4.59499]","[3.54109, 4.89856]","[3.59643, 4.91253]","[3.8496, 4.77054]","[3.79761, 4.97642]","[3.8024, 5.09809]","[3.96653, 4.93959]","[3.94349, 4.81529]"
"[80.0, 85.0]","[3.6916, 4.86459]","[3.78691, 4.58437]","[3.84667, 4.44668]","[3.74178, 4.57717]","[3.81024, 4.57651]","[3.59082, 4.85763]","[3.65955, 4.8523]","[3.90508, 4.70932]","[3.84941, 4.90938]","[3.85476, 5.02723]","[4.0046, 4.89192]","[3.98062, 4.78775]"
"[85.0, 90.0]","[3.71963, 4.87962]","[3.84091, 4.57214]","[3.87886, 4.44264]","[3.78549, 4.54887]","[3.8344, 4.56245]","[3.63902, 4.81659]","[3.7164, 4.7933]","[3.92258, 4.67338]","[3.90503, 4.82284]","[3.87312, 4.98219]","[4.0054, 4.88738]","[4.03436, 4.75929]"
"[90.0, 95.0]","[3.76347, 4.85871]","[3.88078, 4.56097]","[3.90838, 4.43336]","[3.82553, 4.51653]","[3.8571, 4.54221]","[3.68416, 4.77759]","[3.7618, 4.75774]","[3.95459, 4.64592]","[3.90344, 4.81592]","[3.89399, 4.94336]","[4.01476, 4.8648]","[4.0742, 4.72408]"
"[95.0, 100.0]","[3.80254, 4.84637]","[3.92146, 4.54832]","[3.94173, 4.41797]","[3.85525, 4.4953]","[3.8762, 4.52893]","[3.71922, 4.74764]","[3.78706, 4.72977]","[3.97986, 4.60143]","[3.9284, 4.75655]","[3.89106, 4.91131]","[4.00819, 4.85428]","[4.11624, 4.69092]"
