,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[15.0, 20.0]","[31.20688, 34.41508]","[30.52259, 34.71898]","[34.71987, 37.68611]","[36.70248, 39.57768]","[31.37876, 35.23025]","[21.09633, 24.58592]","[12.44741, 15.5751]","[12.40646, 15.17224]","[21.18378, 23.58765]","[32.0183, 34.06028]","[37.38329, 39.19063]","[35.18514, 37.9584]"
"[20.0, 25.0]","[33.16858, 36.25819]","[32.67699, 36.82051]","[33.17575, 36.38057]","[33.12959, 36.44513]","[32.32256, 37.36072]","[33.57202, 36.42918]","[34.12761, 36.32843]","[34.64965, 36.14075]","[35.09194, 35.67448]","[34.10642, 36.27135]","[33.71196, 36.15215]","[33.34142, 36.16993]"
"[25.0, 30.0]","[32.66893, 36.21216]","[32.66633, 36.72142]","[32.0263, 37.19145]","[32.42777, 37.14535]","[32.47736, 37.16637]","[31.95819, 37.57601]","[32.33617, 37.24655]","[32.91151, 36.87224]","[32.84036, 36.91359]","[33.07083, 36.97041]","[33.15481, 36.47611]","[32.77298, 36.27953]"
"[30.0, 35.0]","[32.77689, 36.27565]","[32.99305, 36.65326]","[32.25138, 37.16882]","[32.6389, 37.07757]","[32.66188, 37.03003]","[32.34269, 37.80739]","[32.23447, 37.73356]","[32.60317, 37.46665]","[32.55559, 37.39148]","[32.89504, 37.09496]","[33.15817, 36.46224]","[33.04043, 36.20578]"
"[35.0, 40.0]","[32.9204, 36.31431]","[33.25322, 36.60282]","[32.47074, 37.14037]","[32.66363, 37.12781]","[32.90954, 36.88664]","[32.36127, 37.88499]","[32.40772, 37.74959]","[32.59119, 37.48647]","[32.75543, 37.36146]","[33.10248, 37.10152]","[33.46186, 36.34327]","[33.10358, 36.31675]"
"[40.0, 45.0]","[33.11939, 36.1976]","[33.35885, 36.56643]","[32.89106, 37.05169]","[32.92594, 37.02587]","[33.15486, 36.78892]","[32.48167, 37.75957]","[32.53537, 37.65371]","[32.75877, 37.33226]","[32.81683, 37.36189]","[33.29938, 37.06628]","[33.58868, 36.24524]","[33.30871, 36.2814]"
"[45.0, 50.0]","[33.17062, 36.25173]","[33.47893, 36.5127]","[33.13803, 36.99151]","[33.14627, 36.97135]","[33.25555, 36.73673]","[32.70353, 37.64595]","[32.77917, 37.46061]","[32.98097, 37.21038]","[32.9096, 37.29124]","[33.48941, 36.97886]","[33.76738, 36.20052]","[33.4535, 36.29011]"
"[50.0, 55.0]","[33.37924, 36.2377]","[33.6036, 36.49491]","[33.38963, 36.88176]","[33.22015, 36.89516]","[33.51815, 36.65384]","[32.91754, 37.6221]","[32.9803, 37.49267]","[33.15806, 37.08845]","[33.1872, 37.23615]","[33.50964, 37.05992]","[33.90345, 36.23964]","[33.61299, 36.3096]"
"[55.0, 60.0]","[34.37961, 36.62648]","[34.65995, 36.59374]","[34.30806, 36.39399]","[34.26358, 36.2726]","[33.79476, 36.55652]","[33.1517, 37.46271]","[33.27271, 37.35879]","[33.38068, 37.05621]","[33.45237, 37.15501]","[33.55977, 37.04221]","[34.57261, 36.34149]","[34.48219, 36.66502]"
"[60.0, 65.0]","[33.51691, 36.53199]","[33.78011, 36.78727]","[33.98237, 36.6503]","[33.75793, 36.58896]","[34.01517, 36.47116]","[33.33357, 37.34854]","[33.55042, 37.14985]","[33.58417, 36.92853]","[33.62581, 37.10804]","[33.61092, 37.08218]","[34.08637, 36.35974]","[33.88272, 36.71116]"
