,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[15.0, 20.0]","[5.93731, 17.04358]","[5.22631, 16.00207]","[8.11577, 17.19359]","[10.31418, 17.74991]","[8.07802, 15.83563]","[3.2979, 11.89774]","[0.43512, 9.87717]","[2.56431, 12.84857]","[8.38937, 19.51585]","[13.20353, 25.17222]","[16.15298, 23.02513]","[11.53997, 19.78283]"
"[20.0, 25.0]","[7.58857, 18.21476]","[6.20857, 17.99621]","[6.32759, 16.75344]","[6.73874, 16.35753]","[6.91035, 19.10857]","[10.72113, 21.7541]","[13.71583, 26.65634]","[21.89131, 23.92996]","[22.22634, 23.7267]","[14.92246, 26.17281]","[12.00994, 22.31214]","[9.67515, 19.18259]"
"[25.0, 30.0]","[5.83904, 18.37943]","[4.92475, 17.32068]","[3.54517, 18.9952]","[4.00098, 20.07529]","[4.70986, 21.81163]","[2.40448, 27.84424]","[5.72138, 29.48587]","[10.03019, 29.95834]","[11.15429, 31.12925]","[13.28444, 27.2449]","[12.106, 23.16987]","[9.18084, 19.77786]"
"[30.0, 35.0]","[6.40394, 18.34628]","[5.83694, 16.86991]","[4.28406, 18.65823]","[4.51219, 19.7936]","[4.96777, 21.29142]","[2.03151, 27.16235]","[3.6131, 29.79803]","[6.42195, 31.53186]","[9.01857, 31.67131]","[11.75585, 28.04272]","[12.30869, 23.03718]","[9.79259, 19.6471]"
"[35.0, 40.0]","[6.58947, 18.87965]","[6.42878, 16.73894]","[4.74077, 18.47664]","[4.47584, 20.03942]","[5.76369, 20.42469]","[1.91917, 26.43374]","[2.87864, 28.63983]","[6.22962, 29.13236]","[7.75787, 30.53125]","[11.01617, 27.40981]","[12.64407, 22.56666]","[9.9485, 20.12088]"
"[40.0, 45.0]","[7.32814, 18.66664]","[6.81337, 16.85344]","[5.65767, 17.94745]","[5.23872, 19.54555]","[6.54054, 19.65169]","[2.64502, 25.15256]","[2.76337, 27.44875]","[6.87808, 26.60689]","[7.6848, 28.70852]","[10.36097, 26.75497]","[12.59951, 22.16358]","[10.11446, 20.19662]"
"[45.0, 50.0]","[7.48055, 19.10289]","[7.38362, 16.74912]","[6.26901, 17.60506]","[5.76402, 19.20277]","[7.01501, 19.25341]","[3.2864, 24.20409]","[3.60715, 25.60836]","[7.39989, 24.43101]","[7.79737, 26.77824]","[9.99102, 25.81322]","[12.6852, 21.6527]","[10.51392, 20.11587]"
"[50.0, 55.0]","[8.2861, 19.23184]","[8.09471, 16.90492]","[6.96514, 17.34811]","[6.03095, 18.98254]","[7.70052, 18.44194]","[4.47348, 22.78309]","[3.75663, 24.9299]","[7.88706, 22.93239]","[8.63666, 24.58822]","[9.2474, 25.38167]","[12.52295, 21.36254]","[10.89736, 20.15497]"
"[55.0, 60.0]","[10.5654, 17.37626]","[10.18075, 15.14198]","[8.98506, 15.52089]","[9.17039, 16.05164]","[8.57243, 17.85247]","[5.42978, 21.99639]","[4.62781, 23.81785]","[8.3518, 21.71263]","[9.12292, 23.09186]","[9.11816, 24.71428]","[13.9606, 19.66914]","[11.94269, 19.3522]"
"[60.0, 65.0]","[8.94811, 19.48055]","[9.11284, 16.77934]","[8.52053, 16.39259]","[7.70633, 17.71568]","[9.05267, 17.44282]","[6.07996, 21.31081]","[5.98085, 22.21893]","[9.00141, 20.49133]","[9.42685, 21.95151]","[8.91637, 24.10318]","[12.59806, 20.59153]","[11.09199, 20.29576]"
