,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[nan, nan]","[nan, nan]","[nan, nan]","[2.50733, 5.24212]","[3.98014, 6.0]","[3.80605, 6.0]","[2.31471, 6.0]","[3.04622, 4.50608]","[3.54679, 5.51094]","[4.90354, 6.0]","[5.59671, 6.0]","[nan, nan]"
"[25.0, 30.0]","[3.9112, 5.27901]","[3.46167, 4.8019]","[3.71888, 4.00596]","[2.02848, 5.84799]","[2.27974, 6.0]","[2.45296, 6.0]","[2.32126, 6.0]","[2.60674, 6.0]","[3.11861, 6.0]","[3.39787, 6.0]","[3.80515, 6.0]","[4.06777, 5.82761]"
"[30.0, 35.0]","[3.9184, 5.21567]","[3.5183, 4.70777]","[3.74625, 3.93329]","[2.34888, 5.37639]","[2.33335, 5.79745]","[2.38079, 6.0]","[2.1705, 6.0]","[2.70286, 5.97607]","[2.78896, 6.0]","[3.44814, 6.0]","[3.97018, 6.0]","[3.97569, 5.88003]"
"[35.0, 40.0]","[3.8501, 5.17278]","[3.5346, 4.60208]","[3.66058, 3.97977]","[2.45002, 5.18217]","[2.32598, 5.5159]","[2.38999, 5.58537]","[2.37338, 5.65817]","[2.94358, 5.32432]","[2.70591, 6.0]","[3.44769, 6.0]","[3.96333, 6.0]","[4.01253, 5.81111]"
"[40.0, 45.0]","[3.86572, 5.10491]","[3.55554, 4.55874]","[3.48959, 4.1264]","[2.66196, 4.88886]","[2.32904, 5.33604]","[2.55476, 5.1607]","[2.69654, 5.05038]","[3.0604, 4.96179]","[2.58126, 6.0]","[3.39101, 6.0]","[4.07245, 5.88055]","[3.989, 5.7539]"
"[45.0, 50.0]","[3.90636, 5.01758]","[3.56939, 4.55283]","[3.47264, 4.15949]","[2.83399, 4.69627]","[2.30929, 5.28309]","[2.71201, 4.89293]","[2.8896, 4.72969]","[3.12965, 4.7535]","[2.67918, 5.84348]","[3.34174, 5.97007]","[4.08499, 5.70257]","[3.94352, 5.68205]"
"[50.0, 55.0]","[3.95124, 4.93782]","[3.61611, 4.55123]","[3.55688, 4.12695]","[2.95593, 4.58474]","[2.3351, 5.22918]","[2.92265, 4.64117]","[2.97799, 4.58884]","[3.17844, 4.60598]","[2.69348, 5.64935]","[3.15637, 5.90865]","[4.05947, 5.48605]","[3.92466, 5.54642]"
"[55.0, 60.0]","[3.9701, 4.90313]","[3.59656, 4.62261]","[3.63625, 4.09882]","[3.04886, 4.51016]","[2.34522, 5.22072]","[3.06357, 4.50976]","[2.99236, 4.57844]","[3.2036, 4.52772]","[2.76185, 5.43067]","[2.90966, 5.92953]","[3.99819, 5.32763]","[3.93438, 5.40696]"
"[60.0, 65.0]","[3.97384, 4.86185]","[3.66611, 4.56777]","[3.67493, 4.08449]","[3.14534, 4.4248]","[2.34165, 5.233]","[3.14982, 4.44909]","[2.93714, 4.66855]","[3.19178, 4.54353]","[2.93003, 5.19584]","[2.798, 5.90542]","[3.96874, 5.20236]","[3.98877, 5.24198]"
"[65.0, 70.0]","[3.9902, 4.81881]","[3.72277, 4.52313]","[3.66649, 4.08973]","[3.14469, 4.38533]","[2.57865, 4.94422]","[3.10232, 4.47056]","[2.97141, 4.63638]","[3.18127, 4.54202]","[3.09093, 4.96134]","[2.73239, 5.83299]","[3.89713, 5.123]","[3.94934, 5.1815]"
"[70.0, 75.0]","[3.98462, 4.77966]","[3.77606, 4.48667]","[3.59021, 4.23433]","[3.21632, 4.41905]","[2.41911, 5.2214]","[3.12878, 4.53617]","[3.22913, 4.40479]","[3.18086, 4.48027]","[3.1626, 4.75031]","[2.85203, 5.53799]","[3.96237, 4.89686]","[3.9287, 5.09249]"
"[75.0, 80.0]","[3.96949, 4.74727]","[3.8037, 4.42325]","[3.54884, 4.19513]","[3.22277, 4.27279]","[3.11321, 4.3628]","[3.17383, 4.34618]","[3.22144, 4.29599]","[3.18872, 4.35249]","[3.22504, 4.53051]","[2.82172, 5.37963]","[3.61305, 5.07387]","[4.07248, 4.83909]"
"[80.0, 85.0]","[3.90434, 4.62633]","[3.6755, 4.39132]","[3.58208, 4.06199]","[3.72827, 3.73239]","[2.98771, 4.48742]","[3.1968, 4.31122]","[3.17183, 4.29369]","[3.16018, 4.28948]","[3.28871, 4.35155]","[3.13312, 4.9381]","[4.08838, 4.44809]","[4.06233, 4.67341]"
