,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[nan, nan]","[nan, nan]","[nan, nan]","[30.09541, 35.78072]","[36.21125, 41.89977]","[34.22614, 40.3951]","[29.51944, 35.72117]","[29.72704, 33.4671]","[33.05947, 37.78354]","[36.26743, 40.97156]","[33.45425, 36.50252]","[nan, nan]"
"[25.0, 30.0]","[34.57147, 36.98635]","[33.21573, 36.50198]","[33.34492, 34.36154]","[28.8406, 38.23897]","[29.24106, 38.729]","[30.33505, 38.75278]","[30.83887, 38.27795]","[31.00794, 37.07625]","[30.2626, 37.05555]","[30.82177, 37.21872]","[32.00622, 38.01653]","[34.38752, 37.29475]"
"[30.0, 35.0]","[34.61116, 36.89269]","[33.32705, 36.33912]","[33.41113, 34.21711]","[29.56563, 37.33859]","[29.51355, 38.11274]","[30.51772, 38.0533]","[30.66844, 37.84873]","[31.29402, 36.24698]","[29.81711, 37.11692]","[30.34092, 37.48605]","[32.33386, 37.58488]","[34.21783, 37.40109]"
"[35.0, 40.0]","[34.4467, 36.86946]","[33.44227, 36.06823]","[33.29116, 34.32254]","[29.85729, 37.01036]","[29.77706, 37.53744]","[30.50938, 37.43376]","[30.90381, 36.94769]","[31.91172, 35.31016]","[29.82464, 37.28972]","[30.7047, 37.58669]","[32.39316, 37.88666]","[34.34252, 37.31297]"
"[40.0, 45.0]","[34.48964, 36.79627]","[33.54093, 35.96894]","[33.05547, 34.59578]","[30.3571, 36.51357]","[29.97781, 37.21699]","[30.98928, 36.70241]","[31.33674, 36.22887]","[32.12343, 34.90941]","[29.90552, 37.1757]","[30.78064, 37.57974]","[32.65285, 37.69221]","[34.39134, 37.26707]"
"[45.0, 50.0]","[34.59136, 36.67281]","[33.61495, 35.95749]","[33.13526, 34.64213]","[30.7804, 36.20261]","[30.12469, 37.10024]","[31.38206, 36.25603]","[31.65828, 35.83052]","[32.08061, 34.91367]","[30.4228, 36.66447]","[30.70409, 37.66174]","[32.71527, 37.5949]","[34.43691, 37.16217]"
"[50.0, 55.0]","[34.66957, 36.62645]","[33.74034, 36.01762]","[33.2738, 34.72083]","[31.10232, 36.03074]","[30.26682, 37.0321]","[31.86536, 35.82272]","[31.88738, 35.65439]","[32.00471, 34.99963]","[30.52032, 36.45916]","[30.54754, 37.58083]","[32.76611, 37.2719]","[34.4894, 36.94762]"
"[55.0, 60.0]","[34.71569, 36.60571]","[33.66937, 36.15934]","[33.32505, 34.73037]","[31.30725, 35.87559]","[30.34075, 37.04296]","[32.20527, 35.6317]","[32.0607, 35.65435]","[31.86118, 35.25048]","[30.80981, 36.14591]","[30.24061, 37.75453]","[32.8381, 37.05226]","[34.57985, 36.78647]"
"[60.0, 65.0]","[34.7742, 36.54537]","[33.796, 36.09679]","[33.48335, 34.68905]","[31.55348, 35.76527]","[30.39038, 37.13163]","[32.42898, 35.56073]","[32.02423, 35.87292]","[31.67165, 35.63605]","[31.01537, 36.10192]","[30.10635, 37.97001]","[32.86403, 37.02529]","[34.63786, 36.69455]"
"[65.0, 70.0]","[34.71923, 36.57337]","[33.9163, 36.02285]","[33.58395, 34.65581]","[31.61204, 35.72815]","[30.75961, 36.73112]","[31.96807, 36.00187]","[32.16181, 35.79719]","[31.55079, 35.90081]","[31.27365, 35.99115]","[30.1, 38.03905]","[32.9166, 36.93276]","[34.64313, 36.61321]"
"[70.0, 75.0]","[34.7634, 36.4788]","[34.06063, 35.89611]","[33.54504, 34.87562]","[31.94388, 35.76327]","[30.45802, 37.48465]","[32.08342, 36.25434]","[32.66359, 35.46134]","[31.49946, 35.92651]","[31.00307, 36.15143]","[30.45412, 37.59075]","[33.27439, 36.51938]","[34.57571, 36.63053]"
"[75.0, 80.0]","[34.6936, 36.4458]","[34.10188, 35.88312]","[33.51526, 34.83857]","[31.93872, 35.49012]","[31.82413, 35.70694]","[32.29183, 35.66859]","[32.41998, 35.43597]","[31.86283, 35.30964]","[31.38992, 35.3759]","[31.54246, 35.94841]","[32.85994, 36.36658]","[34.36178, 36.47321]"
"[80.0, 85.0]","[33.8497, 36.60161]","[33.81593, 35.94223]","[33.76858, 34.64012]","[33.67618, 33.67824]","[31.49999, 35.54372]","[32.06524, 35.07064]","[31.77491, 35.24145]","[31.31178, 35.23946]","[31.04497, 35.24415]","[32.51974, 34.37036]","[32.70644, 35.65264]","[34.33253, 35.54595]"
