,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[nan, nan]","[nan, nan]","[nan, nan]","[1.79831, 23.20843]","[11.208, 32.27709]","[11.14394, 34.22522]","[0.40601, 33.24085]","[7.01819, 18.73079]","[10.83165, 23.75722]","[21.05663, 33.24855]","[29.02267, 35.0]","[nan, nan]"
"[25.0, 30.0]","[11.61799, 22.55332]","[8.28326, 18.58636]","[10.76426, 12.77511]","[-1.77986, 27.33557]","[0.22555, 30.22784]","[1.27041, 33.24192]","[-0.11485, 35.0]","[1.51214, 35.0]","[7.96035, 30.9365]","[11.09547, 31.04413]","[13.63638, 30.18369]","[13.65375, 27.42645]"
"[30.0, 35.0]","[11.61475, 22.05738]","[8.68005, 17.86711]","[10.85858, 12.29707]","[0.51093, 23.70003]","[0.23923, 27.13455]","[0.10205, 29.83351]","[-1.7905, 33.19579]","[1.72486, 31.72081]","[4.87866, 32.49242]","[11.78064, 30.15363]","[14.78155, 29.07449]","[12.90671, 27.85364]"
"[35.0, 40.0]","[11.11613, 21.67026]","[8.7599, 17.04526]","[10.14565, 12.57138]","[1.09012, 22.15658]","[-0.20324, 24.97798]","[-0.03276, 25.54973]","[-0.38226, 26.75952]","[3.29453, 26.3081]","[4.25265, 31.45093]","[11.3728, 30.56979]","[14.6992, 29.47121]","[13.0828, 27.33257]"
"[40.0, 45.0]","[11.22243, 21.10961]","[8.87529, 16.70118]","[8.57082, 13.82287]","[2.55478, 19.83014]","[-0.40729, 23.51131]","[1.03794, 22.12351]","[2.19999, 21.59347]","[4.12943, 23.14973]","[2.80848, 31.07295]","[10.54796, 30.03161]","[15.27911, 27.85123]","[12.72378, 26.92963]"
"[45.0, 50.0]","[11.51775, 20.39712]","[8.96258, 16.64132]","[8.29274, 14.13163]","[3.73066, 18.32303]","[-0.74613, 23.07395]","[2.14402, 19.94046]","[3.71798, 18.84546]","[4.81803, 21.08167]","[2.89265, 29.39549]","[9.93267, 28.90977]","[14.98504, 26.55799]","[12.17256, 26.40489]"
"[50.0, 55.0]","[11.85932, 19.71018]","[9.31278, 16.57119]","[8.87032, 13.86047]","[4.56036, 17.4561]","[-0.63021, 22.60942]","[3.66993, 17.94438]","[4.36662, 17.59136]","[5.38094, 19.49034]","[2.69456, 27.89373]","[8.03531, 28.60342]","[14.39945, 25.04878]","[11.83955, 25.40972]"
"[55.0, 60.0]","[12.01566, 19.39726]","[9.22222, 17.11602]","[9.89427, 13.28931]","[5.23362, 16.93031]","[-0.58698, 22.52254]","[4.71638, 16.85663]","[4.37538, 17.42831]","[5.93816, 18.24459]","[3.05474, 26.00463]","[5.61689, 28.8797]","[13.46552, 23.95505]","[11.71123, 24.34994]"
"[60.0, 65.0]","[11.99153, 19.07055]","[9.79007, 16.64763]","[10.11959, 13.19306]","[5.88438, 16.25173]","[-0.63471, 22.52238]","[5.34554, 16.34084]","[3.93021, 18.04411]","[6.20011, 17.8099]","[4.35621, 23.83933]","[4.36833, 28.65288]","[12.73068, 23.12766]","[12.09168, 22.90749]"
"[65.0, 70.0]","[12.19096, 18.64718]","[10.23764, 16.2758]","[9.94442, 13.26114]","[5.80277, 15.91044]","[1.27258, 20.14336]","[5.22927, 16.23145]","[4.17848, 17.74473]","[6.4513, 17.2485]","[5.72991, 21.51724]","[3.53897, 27.98809]","[11.84658, 22.52587]","[11.67489, 22.41331]"
"[70.0, 75.0]","[12.07839, 18.34664]","[10.63323, 16.01125]","[9.129, 14.5917]","[6.42362, 16.0292]","[0.18988, 22.01341]","[5.56761, 16.47841]","[6.24531, 15.76219]","[6.74621, 16.32908]","[6.86783, 19.08839]","[4.32742, 25.56662]","[11.67311, 21.18322]","[11.50488, 21.55155]"
"[75.0, 80.0]","[11.98884, 18.08126]","[10.80823, 15.42831]","[8.72182, 14.21734]","[6.31529, 14.97767]","[5.15088, 15.78778]","[5.74248, 15.19691]","[6.33494, 14.72856]","[6.32883, 15.74926]","[7.16589, 17.57722]","[3.01094, 25.565]","[8.56269, 23.18652]","[13.2451, 19.13574]"
"[80.0, 85.0]","[12.30073, 16.64217]","[9.65748, 15.14644]","[8.77899, 13.01089]","[10.46248, 10.50651]","[4.61292, 16.82333]","[6.3633, 15.31755]","[6.42182, 14.95479]","[6.80917, 14.92086]","[8.018, 16.01403]","[5.35533, 22.57108]","[12.07092, 19.17378]","[13.41355, 18.29861]"
