,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[nan, nan]","[nan, nan]","[nan, nan]","[33.95802, 39.00862]","[35.29328, 42.0]","[31.38354, 31.59635]","[22.20929, 22.35117]","[22.07224, 22.14317]","[31.21646, 31.21646]","[38.77101, 40.35942]","[36.36545, 37.8715]","[nan, nan]"
"[25.0, 30.0]","[14.01983, 19.69373]","[7.00941, 12.92099]","[11.27473, 17.42399]","[22.95362, 29.34057]","[31.75297, 40.0516]","[33.41942, 41.36768]","[29.06642, 36.75106]","[29.19426, 30.69473]","[30.79817, 35.00695]","[36.65503, 39.95074]","[35.80426, 41.00279]","[26.85193, 32.28814]"
"[30.0, 35.0]","[13.80339, 18.91502]","[7.90089, 12.92398]","[12.91079, 17.84534]","[24.52513, 29.37115]","[32.11491, 39.80189]","[33.08273, 40.73302]","[29.30216, 35.73696]","[29.41331, 30.65345]","[30.93085, 35.47349]","[36.89323, 39.50568]","[34.97779, 40.26649]","[25.93817, 31.13834]"
"[35.0, 40.0]","[13.72599, 18.46058]","[8.37543, 12.89146]","[13.76706, 18.06455]","[25.34774, 29.42667]","[32.19687, 39.84495]","[33.48198, 39.89464]","[29.58421, 35.11242]","[29.31527, 30.91834]","[31.07379, 35.74009]","[36.82191, 39.57685]","[34.67118, 39.84286]","[25.54056, 30.49369]"
"[40.0, 45.0]","[13.46184, 18.03058]","[8.81631, 13.08378]","[14.65135, 18.61755]","[26.12644, 29.79137]","[32.38329, 39.83121]","[33.61575, 39.24776]","[29.82123, 34.50451]","[29.56905, 30.88337]","[31.33081, 35.87937]","[36.70007, 39.45342]","[34.07558, 39.24687]","[24.83842, 29.70844]"
"[45.0, 50.0]","[13.20666, 17.46525]","[9.34372, 13.30081]","[15.64578, 19.30135]","[26.94737, 30.30143]","[32.60445, 39.82723]","[33.73954, 38.58038]","[29.9685, 34.00943]","[29.75222, 31.03083]","[31.89909, 35.7999]","[36.49397, 39.34416]","[33.50794, 38.36957]","[24.10531, 28.66542]"
"[50.0, 55.0]","[12.96875, 16.96675]","[9.74799, 13.47458]","[16.41041, 19.8656]","[27.54457, 30.72834]","[32.73158, 39.83215]","[33.7716, 38.11742]","[30.05158, 33.70323]","[29.86515, 31.231]","[32.45015, 35.60551]","[36.20343, 39.23986]","[32.99162, 37.53244]","[23.45821, 27.72762]"
"[55.0, 60.0]","[12.80411, 16.5432]","[10.12611, 13.63181]","[17.09268, 20.36499]","[28.07954, 31.11846]","[32.92069, 39.80683]","[33.82747, 37.74515]","[30.11476, 33.5057]","[29.90626, 31.52165]","[32.63563, 35.79522]","[36.02634, 39.14879]","[32.61083, 36.81671]","[22.95364, 26.92612]"
"[60.0, 65.0]","[12.73416, 16.22542]","[10.44213, 13.74204]","[17.62737, 20.73593]","[28.50749, 31.42469]","[33.21458, 39.70329]","[33.94111, 37.4717]","[30.19134, 33.39447]","[29.93681, 31.79086]","[32.51895, 36.24537]","[35.87896, 39.16582]","[32.40935, 36.2833]","[22.64966, 26.33226]"
"[65.0, 70.0]","[12.73105, 16.10654]","[10.64076, 13.85032]","[17.93914, 20.98277]","[28.7627, 31.64041]","[33.69454, 39.41978]","[34.09725, 37.34819]","[30.31283, 33.39105]","[29.93399, 32.09447]","[32.04899, 37.02329]","[35.8455, 39.24219]","[32.34553, 36.05288]","[22.52561, 26.06703]"
"[70.0, 75.0]","[12.35855, 15.90715]","[10.89453, 14.37381]","[18.56715, 21.97711]","[29.22477, 32.56541]","[34.13111, 39.46559]","[34.27201, 37.02181]","[30.28054, 33.4282]","[30.09189, 32.49852]","[32.42507, 37.31989]","[35.61882, 39.42638]","[31.83356, 35.52081]","[21.80442, 25.42235]"
"[75.0, 80.0]","[12.99656, 15.4741]","[11.43999, 13.8395]","[19.05937, 21.38084]","[29.7451, 31.98853]","[35.08685, 38.59343]","[34.04964, 37.41241]","[30.34739, 33.4828]","[29.95456, 32.64902]","[32.66305, 37.06485]","[35.6079, 39.52939]","[32.4874, 35.12102]","[22.49302, 25.0486]"
"[80.0, 85.0]","[34.54042, 34.62291]","[34.16008, 34.26272]","[33.77974, 33.90254]","[33.39939, 33.54235]","[33.44785, 33.68896]","[33.4963, 33.83557]","[33.54475, 33.98218]","[33.5932, 34.12879]","[33.64166, 34.2754]","[33.69011, 34.42201]","[35.30111, 35.34328]","[34.92077, 34.9831]"
