,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[nan, nan]","[nan, nan]","[nan, nan]","[5.96295, 29.5348]","[3.93832, 33.55692]","[14.86533, 16.14446]","[12.7245, 13.57725]","[15.61028, 16.03666]","[22.05237, 22.05237]","[22.30657, 29.50792]","[19.91558, 25.78051]","[nan, nan]"
"[25.0, 30.0]","[8.68854, 25.32796]","[-5.0, 5.12123]","[-5.0, -2.36042]","[-5.0, 7.63818]","[-1.01839, 25.77206]","[6.52188, 35.0]","[-0.4437, 35.0]","[-2.52075, 24.37956]","[7.31058, 18.1161]","[20.2575, 30.03685]","[30.85038, 35.0]","[27.72632, 35.0]"
"[30.0, 35.0]","[7.47474, 22.10214]","[-5.0, 4.79517]","[-5.0, -1.134]","[-5.0, 7.09529]","[-0.34919, 24.01861]","[7.06906, 29.25693]","[-0.35896, 30.50757]","[-1.75441, 22.60814]","[7.6027, 19.61651]","[20.55577, 29.20976]","[27.47036, 35.0]","[23.88851, 35.0]"
"[35.0, 40.0]","[5.9892, 19.69013]","[-5.0, 4.75651]","[-5.0, 0.16602]","[-5.0, 7.40974]","[-1.0894, 23.84422]","[6.33938, 25.79512]","[0.88267, 25.45959]","[-0.15433, 19.88622]","[5.11762, 22.29263]","[19.71866, 28.13519]","[24.49713, 35.0]","[20.5586, 34.30349]"
"[40.0, 45.0]","[3.94501, 17.48051]","[-5.0, 5.63487]","[-5.0, 2.73021]","[-2.90933, 8.8549]","[-0.79592, 23.19031]","[5.45383, 22.80344]","[1.90873, 21.27623]","[2.44892, 17.09687]","[3.67477, 24.42764]","[18.39496, 26.94543]","[20.45763, 35.0]","[16.15252, 30.27844]"
"[45.0, 50.0]","[1.20979, 15.02401]","[-5.0, 7.2172]","[-5.0, 6.49093]","[0.74801, 11.27622]","[-0.35947, 22.67645]","[3.79709, 20.37682]","[2.27496, 18.05615]","[4.40216, 15.95449]","[3.49109, 26.05728]","[16.45741, 25.75232]","[15.20242, 31.20732]","[10.40436, 25.31392]"
"[50.0, 55.0]","[-1.2553, 12.3293]","[-3.4994, 8.62559]","[-0.57278, 10.09261]","[4.40374, 13.60953]","[-0.07463, 22.44439]","[3.03808, 17.48736]","[2.22948, 15.8094]","[5.93021, 15.60706]","[4.47811, 26.50167]","[13.95146, 24.82045]","[10.18051, 26.68432]","[4.9144, 19.9586]"
"[55.0, 60.0]","[-3.51218, 10.42899]","[-2.07609, 10.07995]","[2.96421, 13.33511]","[7.20293, 15.78869]","[0.49172, 21.94788]","[2.31936, 15.21269]","[2.06556, 14.10717]","[7.10433, 15.4695]","[6.4969, 25.78242]","[12.78895, 23.31087]","[5.82612, 23.33757]","[0.17199, 15.89831]"
"[60.0, 65.0]","[-4.34525, 8.37987]","[-0.63898, 10.54632]","[5.55339, 15.19887]","[9.02188, 17.12756]","[1.23481, 21.09041]","[2.03185, 13.45904]","[2.12177, 12.87001]","[7.99988, 15.28923]","[7.97756, 24.99545]","[11.75379, 22.18084]","[3.89204, 19.69677]","[-2.18531, 12.07962]"
"[65.0, 70.0]","[-4.11112, 7.74188]","[-0.01099, 10.53435]","[6.26663, 15.50432]","[9.44036, 17.3704]","[2.81056, 19.55732]","[2.20824, 13.0491]","[2.69473, 12.23865]","[8.2615, 15.14582]","[6.79543, 25.98857]","[11.03074, 21.97121]","[3.80499, 18.27331]","[-2.29804, 10.86262]"
"[70.0, 75.0]","[-4.97902, 7.81388]","[0.17685, 11.78527]","[7.04826, 17.4722]","[9.96445, 19.20391]","[3.56514, 19.73149]","[2.15437, 12.93692]","[2.80333, 11.9241]","[8.43166, 15.23472]","[8.32401, 24.57624]","[9.81381, 22.16451]","[2.311, 17.47285]","[-3.89019, 10.08719]"
"[75.0, 80.0]","[-3.53326, 5.5774]","[2.34369, 10.61002]","[9.39141, 16.81341]","[11.83892, 18.41658]","[8.02993, 15.34842]","[2.38202, 12.38346]","[3.0818, 11.63426]","[8.62008, 15.26526]","[9.48326, 22.98378]","[7.70185, 22.46851]","[3.08467, 13.88399]","[-3.10314, 6.85185]"
"[80.0, 85.0]","[10.388, 10.84801]","[9.61641, 10.18147]","[8.84482, 9.51494]","[8.07324, 8.8484]","[9.37775, 10.61551]","[10.68226, 12.38261]","[11.98677, 14.14972]","[13.29128, 15.91683]","[14.59579, 17.68394]","[15.9003, 19.45104]","[11.93117, 12.18109]","[11.15959, 11.51455]"
