,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[nan, nan]","[nan, nan]","[nan, nan]","[0.59508, 3.20697]","[5.06418, 6.0]","[6.0, 6.0]","[4.75981, 4.76425]","[2.10031, 4.96815]","[4.47223, 5.44184]","[6.0, 6.0]","[5.20266, 6.0]","[0.0, 1.97701]"
"[25.0, 30.0]","[4.0294, 5.51979]","[4.18254, 4.87134]","[3.0776, 5.48031]","[2.18441, 6.0]","[2.75341, 6.0]","[3.23062, 6.0]","[3.23997, 6.0]","[2.8802, 6.0]","[3.59388, 5.85621]","[3.70603, 5.6287]","[3.9776, 5.52589]","[3.86953, 5.81907]"
"[30.0, 35.0]","[4.00491, 5.5114]","[4.08421, 4.93789]","[3.24699, 5.1959]","[2.60295, 5.64709]","[2.79119, 5.85722]","[2.92498, 6.0]","[3.09976, 6.0]","[2.60326, 6.0]","[2.91889, 6.0]","[3.42839, 6.0]","[3.59654, 5.88977]","[3.74977, 5.88037]"
"[35.0, 40.0]","[3.97775, 5.45089]","[4.06675, 4.92267]","[3.17346, 5.24956]","[2.4062, 5.70248]","[2.59892, 5.68127]","[2.52997, 6.0]","[2.67246, 6.0]","[2.51488, 6.0]","[2.93844, 6.0]","[3.48991, 5.92623]","[3.73785, 5.71946]","[3.6755, 5.86964]"
"[40.0, 45.0]","[3.92864, 5.37912]","[4.03903, 4.85749]","[3.33221, 5.04584]","[2.69805, 5.30686]","[2.73109, 5.24499]","[2.39921, 5.88549]","[2.63606, 6.0]","[2.65562, 6.0]","[2.68057, 6.0]","[3.36271, 6.0]","[3.76532, 5.7199]","[3.6983, 5.7887]"
"[45.0, 50.0]","[3.89027, 5.29943]","[4.01802, 4.7904]","[3.46418, 4.88356]","[2.94143, 5.00779]","[2.78217, 4.98272]","[2.51395, 5.35735]","[2.94055, 5.28126]","[2.89645, 5.78083]","[2.53787, 6.0]","[3.26096, 6.0]","[3.79057, 5.68297]","[3.74897, 5.66763]"
"[50.0, 55.0]","[3.89028, 5.18183]","[3.95604, 4.77808]","[3.51055, 4.80886]","[3.06943, 4.84402]","[2.79719, 4.85045]","[2.75839, 4.8832]","[3.1757, 4.74687]","[3.2494, 5.14324]","[2.46948, 6.0]","[3.16608, 6.0]","[3.83723, 5.51802]","[3.79419, 5.49696]"
"[55.0, 60.0]","[3.94336, 5.0381]","[3.85151, 4.76384]","[3.41469, 4.79041]","[3.00467, 4.84378]","[2.82713, 4.79859]","[2.94871, 4.64479]","[3.17159, 4.60102]","[3.37581, 4.75448]","[2.57805, 5.99575]","[3.08528, 5.88684]","[3.87371, 5.32957]","[3.83807, 5.36416]"
"[60.0, 65.0]","[4.00287, 4.92549]","[3.77859, 4.74099]","[3.29905, 4.79903]","[2.87957, 4.91714]","[2.94857, 4.70119]","[3.1189, 4.51143]","[3.14881, 4.57495]","[3.3491, 4.60234]","[2.83906, 5.47959]","[3.0486, 5.69826]","[3.82159, 5.25334]","[3.87015, 5.27847]"
"[65.0, 70.0]","[3.98327, 4.85044]","[3.7254, 4.78622]","[3.0811, 5.09195]","[2.47406, 5.43493]","[2.78579, 4.95287]","[3.27121, 4.38471]","[3.22264, 4.46005]","[3.3278, 4.53551]","[3.02542, 5.17574]","[2.94326, 5.66273]","[3.93842, 4.97937]","[3.92368, 5.07755]"
"[70.0, 75.0]","[3.989, 4.83858]","[3.74564, 4.63336]","[3.37147, 4.58136]","[3.07557, 4.60762]","[2.95455, 4.60216]","[3.22963, 4.27208]","[3.2755, 4.23753]","[3.40079, 4.27245]","[3.14446, 4.90051]","[2.92005, 5.62849]","[3.93557, 5.02783]","[3.94989, 5.12294]"
"[75.0, 80.0]","[4.031, 4.71448]","[4.10602, 4.23233]","[3.72748, 4.24422]","[3.43211, 4.33927]","[3.34495, 4.33818]","[3.29674, 4.29829]","[3.28337, 4.2197]","[3.17935, 4.36048]","[3.20782, 4.62321]","[2.98551, 5.34074]","[3.7437, 5.04116]","[3.8067, 5.14172]"
