,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[10.08539, 18.84637]","[12.12487, 19.22649]","[14.1523, 19.59455]","[17.56389, 21.34677]","[16.77432, 29.0835]","[14.42787, 35.0]","[17.07314, 28.87624]","[15.80619, 19.43012]"
"[25.0, 30.0]","[13.10339, 25.34153]","[5.50636, 19.44024]","[0.00361, 15.63323]","[-0.07201, 17.25334]","[-0.7771, 27.63285]","[-1.24371, 35.0]","[2.97199, 33.89008]","[-0.83578, 33.48789]","[2.80151, 27.76451]","[6.96245, 28.37147]","[15.48026, 27.88751]","[17.74541, 28.28782]"
"[30.0, 35.0]","[16.04741, 28.06186]","[10.33505, 22.24697]","[4.79117, 16.60056]","[3.24583, 14.9527]","[-2.87596, 26.31397]","[-1.80534, 32.42988]","[2.29767, 30.87315]","[1.5483, 29.26626]","[2.96872, 26.30014]","[6.17345, 27.43613]","[14.90483, 27.34878]","[17.84304, 29.96002]"
"[35.0, 40.0]","[22.10372, 31.80062]","[17.79773, 28.20472]","[10.63941, 21.75649]","[5.19609, 17.02327]","[-4.15595, 24.93425]","[-2.44435, 27.99307]","[2.77217, 26.9914]","[6.1752, 23.53961]","[3.18537, 25.14028]","[4.91332, 26.54381]","[13.77286, 27.07597]","[21.04366, 30.03046]"
"[40.0, 45.0]","[19.34273, 28.70447]","[14.2691, 23.73746]","[7.88915, 17.46413]","[4.30781, 13.98942]","[-4.53315, 24.06446]","[0.16862, 24.53902]","[4.31823, 23.30157]","[6.60676, 20.07848]","[2.16947, 24.00214]","[4.22354, 26.81238]","[15.72586, 25.05118]","[19.75626, 29.01138]"
"[45.0, 50.0]","[23.0161, 32.3626]","[19.50616, 28.81694]","[12.17443, 21.44949]","[6.00387, 15.24319]","[-5.0, 23.73367]","[1.23944, 21.15134]","[5.52461, 21.56355]","[6.56694, 20.77541]","[2.81281, 22.76192]","[3.13371, 25.15249]","[15.28277, 23.00525]","[20.51423, 29.89645]"
"[50.0, 55.0]","[26.1999, 35.0]","[24.16805, 33.76313]","[15.95101, 25.20146]","[7.40937, 16.31519]","[-5.0, 21.86817]","[-0.09539, 20.39364]","[6.28482, 20.64537]","[7.62786, 20.8082]","[3.3183, 22.15643]","[-1.08081, 27.14585]","[14.12733, 22.08449]","[20.92476, 31.2091]"
"[55.0, 60.0]","[35.0, 35.0]","[35.0, 35.0]","[26.72899, 35.0]","[11.3306, 19.58062]","[-5.0, 18.68221]","[-1.06685, 17.05794]","[7.30828, 20.40995]","[9.5445, 22.5764]","[5.79975, 19.88225]","[-2.69022, 23.608]","[11.82777, 20.40533]","[24.72932, 34.2041]"
"[60.0, 65.0]","[24.3518, 33.1731]","[22.08498, 31.21488]","[14.37575, 23.81425]","[6.65318, 16.40027]","[-3.58003, 20.92875]","[2.32018, 18.87744]","[7.84731, 18.91206]","[8.24827, 18.89275]","[5.10827, 18.53882]","[-0.70192, 24.72515]","[12.48231, 21.08904]","[19.90677, 28.41948]"
"[65.0, 70.0]","[25.73558, 34.37244]","[23.87178, 33.13355]","[15.64374, 25.53042]","[6.92227, 17.43386]","[-4.05693, 21.57236]","[2.55618, 18.88694]","[8.49988, 19.08721]","[8.49468, 19.34858]","[5.73101, 17.45388]","[-0.11576, 22.47563]","[12.32726, 19.71982]","[20.2985, 28.31044]"
"[70.0, 75.0]","[21.1602, 30.45502]","[18.7149, 28.58402]","[12.01759, 22.46102]","[5.80983, 16.82756]","[-2.52943, 21.70626]","[3.5745, 19.63045]","[8.58628, 19.00823]","[8.48514, 18.45548]","[5.38599, 17.85171]","[1.32835, 22.19754]","[12.33369, 19.62295]","[17.86562, 26.58612]"
"[75.0, 80.0]","[13.06523, 23.43954]","[9.36887, 20.87022]","[5.16052, 17.78892]","[3.06877, 16.82423]","[-0.96546, 23.11444]","[5.81222, 20.25699]","[8.91348, 18.38585]","[6.827, 18.42251]","[4.24058, 19.2721]","[3.82585, 22.03229]","[12.29715, 19.6205]","[13.88833, 23.13558]"
"[80.0, 85.0]","[12.03015, 21.68757]","[8.4178, 19.18633]","[4.82049, 16.70015]","[3.43774, 16.4285]","[0.90303, 21.95806]","[6.08635, 20.62433]","[9.3619, 18.25266]","[7.15847, 18.39522]","[4.45507, 19.61726]","[5.96333, 20.37301]","[11.9064, 19.60954]","[13.34245, 21.88876]"
"[85.0, 90.0]","[3.80832, 12.69028]","[-1.64851, 9.17404]","[-2.53287, 10.23029]","[0.85481, 15.55857]","[3.52479, 22.6726]","[8.58764, 21.25442]","[9.61575, 17.30986]","[6.67035, 16.69976]","[4.19544, 20.51859]","[8.44487, 21.59756]","[12.44732, 20.33966]","[10.34258, 17.28394]"
"[90.0, 95.0]","[-1.87282, 4.79113]","[-5.0, -0.33783]","[-5.0, 3.11744]","[-0.84036, 13.13357]","[4.72294, 24.07507]","[10.88602, 22.25375]","[10.01748, 16.98561]","[5.99686, 15.5332]","[3.80927, 21.02772]","[11.17963, 22.01018]","[13.55558, 21.29703]","[9.25137, 13.47866]"
"[95.0, 100.0]","[3.70077, 9.89869]","[-1.57119, 7.61098]","[-2.00681, 10.1596]","[1.33925, 16.4899]","[6.10453, 21.0698]","[9.95297, 19.97268]","[10.32854, 16.5605]","[7.70873, 16.4712]","[4.92348, 21.35939]","[10.58291, 20.50832]","[12.23907, 19.77576]","[10.91694, 14.13062]"
"[100.0, 125.0]","[9.63673, 15.34236]","[6.74012, 15.69334]","[4.99232, 17.19314]","[4.32736, 19.77577]","[7.35704, 19.07841]","[10.36419, 17.1545]","[11.50554, 15.7555]","[9.25404, 17.71468]","[6.35699, 21.40182]","[11.18316, 18.03805]","[11.31509, 18.41176]","[12.82174, 15.27977]"
"[125.0, 150.0]","[4.59467, 10.68465]","[1.25464, 9.60298]","[1.64896, 12.25565]","[4.41856, 17.28361]","[10.14693, 17.90975]","[12.90418, 16.1586]","[11.17501, 15.17757]","[8.38718, 16.36939]","[8.14439, 18.76064]","[12.74219, 17.57844]","[12.05626, 17.9276]","[9.97533, 13.80696]"
"[150.0, 175.0]","[-2.23889, 3.59291]","[-5.0, 0.26739]","[-4.66673, 4.52712]","[2.58957, 13.46444]","[11.90147, 16.99714]","[13.21213, 17.35807]","[9.793, 14.8108]","[6.82457, 14.13872]","[9.67979, 15.32662]","[13.30831, 18.35855]","[12.3891, 18.40574]","[7.04547, 11.19625]"
"[175.0, 200.0]","[-3.44865, 1.58429]","[-5.0, -2.26008]","[-5.0, 2.02898]","[2.50721, 11.32934]","[11.74141, 15.81317]","[12.35691, 16.90793]","[9.07539, 13.7179]","[6.02294, 12.84763]","[8.91701, 14.3432]","[12.54299, 17.95878]","[11.7087, 17.94955]","[6.23671, 10.00659]"
"[200.0, 225.0]","[-1.5816, 2.69188]","[-5.0, -0.76813]","[-3.26497, 2.59083]","[3.55984, 10.20681]","[9.99646, 15.27273]","[10.91199, 15.79236]","[8.52777, 12.69567]","[5.87633, 12.00164]","[8.38384, 13.22751]","[11.08418, 16.8032]","[10.62144, 16.82008]","[6.43194, 9.91426]"
"[225.0, 250.0]","[-0.13399, 3.96105]","[-3.5854, 1.08509]","[-1.52933, 3.7166]","[3.98893, 9.81029]","[8.39202, 14.69455]","[9.66021, 14.5976]","[8.10227, 11.73139]","[5.84947, 11.28763]","[7.79739, 12.39629]","[9.56395, 15.78587]","[9.64134, 15.44504]","[6.3257, 9.8453]"
