,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[5.37628, 5.37941]","[nan, nan]","[nan, nan]"
"[25.0, 30.0]","[nan, nan]","[nan, nan]","[nan, nan]","[3.31032, 4.30472]","[3.2264, 5.14943]","[2.20354, 6.0]","[1.89073, 6.0]","[2.18951, 6.0]","[3.36988, 6.0]","[3.30066, 6.0]","[3.24816, 4.27455]","[nan, nan]"
"[30.0, 35.0]","[4.6956, 5.12239]","[5.00574, 5.22943]","[4.8299, 4.85047]","[2.67723, 5.89267]","[2.13593, 5.71199]","[2.15082, 5.93606]","[2.36956, 6.0]","[2.48751, 6.0]","[2.82313, 6.0]","[2.95743, 5.78335]","[3.79718, 4.63018]","[4.14486, 4.77476]"
"[35.0, 40.0]","[5.68652, 6.0]","[5.44533, 6.0]","[4.55968, 5.1897]","[2.59398, 5.35295]","[2.13123, 5.15693]","[2.28288, 5.55679]","[2.57129, 6.0]","[2.81519, 6.0]","[2.2774, 6.0]","[2.62573, 5.79248]","[4.3521, 5.02514]","[5.16225, 5.82453]"
"[40.0, 45.0]","[2.77818, 3.60305]","[3.05793, 4.00536]","[3.49655, 4.56653]","[3.24489, 5.20233]","[2.74645, 5.25685]","[2.14907, 5.25714]","[2.63669, 4.84472]","[3.16124, 5.15702]","[2.60818, 6.0]","[2.81879, 6.0]","[3.69843, 4.27818]","[3.02665, 3.72896]"
"[45.0, 50.0]","[0.68341, 1.593]","[1.33285, 2.34772]","[2.75237, 3.87251]","[3.47367, 5.19152]","[2.9097, 5.62906]","[2.25286, 4.96573]","[2.53022, 4.18343]","[3.07908, 4.79619]","[3.31428, 6.0]","[2.9626, 6.0]","[3.11534, 3.81439]","[1.46173, 2.26605]"
"[50.0, 55.0]","[0.36576, 1.17601]","[1.11231, 1.90238]","[2.74444, 3.51434]","[3.54338, 5.0787]","[2.85507, 5.77257]","[2.44322, 4.76976]","[2.65745, 3.88242]","[3.1229, 4.50946]","[3.75965, 5.49907]","[3.01672, 6.0]","[2.88944, 3.74005]","[1.17163, 2.00206]"
"[55.0, 60.0]","[0.74399, 1.55976]","[1.42424, 2.17441]","[2.86867, 3.55322]","[3.4939, 4.98009]","[2.72306, 5.75356]","[2.67068, 4.57294]","[2.75389, 3.89446]","[3.2419, 4.33686]","[3.95504, 5.016]","[2.97589, 5.93325]","[2.8671, 3.81409]","[1.40864, 2.29003]"
"[60.0, 65.0]","[0.07289, 0.8419]","[0.94057, 1.63663]","[2.71817, 3.34127]","[3.50933, 5.08455]","[2.85289, 5.80495]","[2.74396, 4.48128]","[2.68372, 3.83084]","[3.25972, 4.30004]","[4.16448, 4.92527]","[2.89573, 5.96422]","[2.58673, 3.50165]","[0.83338, 1.67535]"
"[65.0, 70.0]","[0.15218, 0.71811]","[0.99835, 1.48477]","[2.77879, 3.18568]","[3.48071, 5.0744]","[2.95448, 5.73275]","[2.79286, 4.48529]","[2.73557, 3.79626]","[3.26354, 4.25839]","[4.20029, 4.83009]","[2.91893, 5.9077]","[2.68331, 3.40829]","[0.9327, 1.57817]"
