,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[20.0, 25.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[35.38701, 35.40273]","[nan, nan]","[nan, nan]"
"[25.0, 30.0]","[nan, nan]","[nan, nan]","[nan, nan]","[31.17889, 33.83299]","[33.574, 38.30524]","[30.09273, 37.7993]","[27.86535, 35.41825]","[28.65873, 37.28264]","[33.50868, 39.1321]","[32.28743, 40.13431]","[27.97711, 30.71325]","[nan, nan]"
"[30.0, 35.0]","[28.63845, 29.6965]","[31.27604, 31.82647]","[34.17797, 34.22077]","[31.45839, 38.99009]","[30.18531, 38.72502]","[29.2257, 37.53463]","[30.01207, 36.91856]","[30.54464, 38.62312]","[31.61282, 38.69557]","[30.16045, 37.53039]","[30.07551, 32.1488]","[28.18588, 29.75155]"
"[35.0, 40.0]","[31.30787, 32.80211]","[32.61284, 33.96397]","[33.76966, 34.97768]","[31.1119, 37.96772]","[29.91406, 37.93775]","[29.69386, 37.02653]","[30.44648, 36.50239]","[31.22986, 36.87899]","[30.55535, 38.00665]","[29.74963, 37.47696]","[31.52357, 33.30402]","[30.849, 32.48634]"
"[40.0, 45.0]","[25.87964, 27.66236]","[28.27169, 29.93942]","[32.05517, 33.6079]","[32.27852, 37.9133]","[31.32417, 38.1189]","[29.50115, 36.68485]","[30.3216, 34.68106]","[31.72674, 35.62416]","[31.28406, 38.74895]","[30.48172, 38.13925]","[30.16983, 32.18253]","[26.78882, 28.68654]"
"[45.0, 50.0]","[21.98271, 23.40589]","[25.09974, 26.49524]","[30.82279, 32.19062]","[32.84752, 38.01833]","[31.8631, 38.86182]","[29.79133, 36.23225]","[30.07629, 33.66371]","[31.27687, 35.53251]","[32.85876, 38.15537]","[30.81143, 38.69765]","[29.44785, 30.92638]","[24.00077, 25.45163]"
"[50.0, 55.0]","[22.43915, 23.43921]","[25.38489, 26.36522]","[30.94527, 31.90589]","[33.00738, 37.67312]","[31.75088, 39.01461]","[30.26941, 35.96564]","[30.31807, 33.51151]","[31.33803, 35.23038]","[33.54889, 37.01708]","[30.64478, 38.57988]","[29.74479, 30.7843]","[24.47056, 25.49035]"
"[55.0, 60.0]","[22.54176, 23.56022]","[25.47662, 26.5032]","[30.97288, 32.00758]","[33.08604, 37.62404]","[31.65593, 39.12889]","[30.77682, 35.54138]","[30.50259, 33.45065]","[31.4468, 35.18955]","[33.97785, 36.53723]","[30.28114, 38.82273]","[29.73299, 30.7352]","[24.52256, 25.5329]"
"[60.0, 65.0]","[21.10587, 22.07196]","[24.4066, 25.32606]","[30.65518, 31.52802]","[33.23481, 37.8376]","[32.0205, 39.34467]","[31.06223, 35.38851]","[30.38883, 33.37802]","[31.48519, 35.20073]","[34.28469, 36.67341]","[30.11931, 39.1984]","[29.24585, 30.3052]","[23.36502, 24.37774]"
"[65.0, 70.0]","[20.88359, 21.73064]","[24.22761, 24.94013]","[30.66505, 31.24304]","[33.29293, 37.85908]","[32.33832, 39.2812]","[31.22877, 35.42299]","[30.57874, 33.27059]","[31.43409, 35.33213]","[34.25035, 36.9041]","[30.21647, 39.35223]","[29.25733, 30.37344]","[23.24419, 24.22577]"
