,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[150.0, 175.0]","[nan, nan]","[nan, nan]","[34.38134, 34.38134]","[34.27132, 34.63051]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[175.0, 200.0]","[nan, nan]","[nan, nan]","[nan, nan]","[34.34658, 34.4768]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[200.0, 225.0]","[nan, nan]","[nan, nan]","[nan, nan]","[34.17314, 34.75864]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[225.0, 250.0]","[nan, nan]","[nan, nan]","[34.16335, 34.16335]","[34.07484, 34.47546]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[250.0, 275.0]","[nan, nan]","[nan, nan]","[nan, nan]","[33.95257, 34.60988]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[275.0, 300.0]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]"
"[300.0, 325.0]","[nan, nan]","[nan, nan]","[nan, nan]","[34.11884, 34.20207]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[325.0, 350.0]","[nan, nan]","[nan, nan]","[nan, nan]","[34.13975, 34.13975]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[350.0, 375.0]","[nan, nan]","[nan, nan]","[34.1401, 34.1401]","[34.03953, 34.28981]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[375.0, 400.0]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]"
"[400.0, 425.0]","[nan, nan]","[nan, nan]","[nan, nan]","[34.11476, 34.15607]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[425.0, 450.0]","[nan, nan]","[nan, nan]","[nan, nan]","[34.11659, 34.16273]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[450.0, 475.0]","[nan, nan]","[nan, nan]","[34.14158, 34.14158]","[34.08171, 34.14908]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[475.0, 500.0]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]"
"[500.0, 550.0]","[nan, nan]","[nan, nan]","[nan, nan]","[34.128, 34.15384]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[550.0, 600.0]","[nan, nan]","[nan, nan]","[34.15838, 34.15838]","[34.09182, 34.20696]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[600.0, 650.0]","[nan, nan]","[nan, nan]","[nan, nan]","[34.14892, 34.17316]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[650.0, 700.0]","[nan, nan]","[nan, nan]","[34.19232, 34.19232]","[34.14818, 34.24233]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[700.0, 750.0]","[nan, nan]","[nan, nan]","[nan, nan]","[34.16622, 34.2349]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
