,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[150.0, 175.0]","[nan, nan]","[nan, nan]","[7.4476, 7.4476]","[6.5575, 9.38577]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[175.0, 200.0]","[nan, nan]","[nan, nan]","[nan, nan]","[6.65852, 8.47677]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[200.0, 225.0]","[nan, nan]","[nan, nan]","[nan, nan]","[5.28574, 10.55061]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[225.0, 250.0]","[nan, nan]","[nan, nan]","[5.25559, 5.25559]","[4.47315, 7.83134]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[250.0, 275.0]","[nan, nan]","[nan, nan]","[nan, nan]","[3.33253, 9.19846]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[275.0, 300.0]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]"
"[300.0, 325.0]","[nan, nan]","[nan, nan]","[nan, nan]","[4.50339, 5.39908]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[325.0, 350.0]","[nan, nan]","[nan, nan]","[nan, nan]","[4.694, 4.694]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[350.0, 375.0]","[nan, nan]","[nan, nan]","[4.5547, 4.5547]","[3.33415, 6.3268]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[375.0, 400.0]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]"
"[400.0, 425.0]","[nan, nan]","[nan, nan]","[nan, nan]","[4.06441, 4.58974]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[425.0, 450.0]","[nan, nan]","[nan, nan]","[nan, nan]","[3.7651, 4.96389]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[450.0, 475.0]","[nan, nan]","[nan, nan]","[4.0807, 4.0807]","[3.33354, 4.41912]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[475.0, 500.0]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]","[-5, 35]"
"[500.0, 550.0]","[nan, nan]","[nan, nan]","[nan, nan]","[3.52078, 4.31266]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[550.0, 600.0]","[nan, nan]","[nan, nan]","[3.6134, 3.6134]","[3.08201, 4.08858]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[600.0, 650.0]","[nan, nan]","[nan, nan]","[nan, nan]","[3.09747, 3.96094]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[650.0, 700.0]","[nan, nan]","[nan, nan]","[3.3271, 3.3271]","[2.99868, 3.71165]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[700.0, 750.0]","[nan, nan]","[nan, nan]","[nan, nan]","[2.93514, 3.59833]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[750.0, 800.0]","[nan, nan]","[nan, nan]","[3.1293, 3.1293]","[2.9281, 3.32929]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[800.0, 850.0]","[nan, nan]","[nan, nan]","[nan, nan]","[2.94516, 3.2766]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[850.0, 900.0]","[nan, nan]","[nan, nan]","[3.006, 3.006]","[2.91863, 3.14716]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[900.0, 950.0]","[nan, nan]","[nan, nan]","[nan, nan]","[2.77638, 3.17667]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[950.0, 1000.0]","[nan, nan]","[nan, nan]","[2.9343, 2.9343]","[2.70441, 3.14586]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[1000.0, 1050.0]","[nan, nan]","[nan, nan]","[nan, nan]","[2.84459, 2.93716]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[1050.0, 1100.0]","[nan, nan]","[nan, nan]","[nan, nan]","[2.77915, 2.99078]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[1100.0, 1150.0]","[nan, nan]","[nan, nan]","[2.8211, 2.8211]","[2.78496, 2.86655]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[1150.0, 1200.0]","[nan, nan]","[nan, nan]","[nan, nan]","[2.74624, 2.87482]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
