,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[125.0, 150.0]","[4.5336, 4.5336]","[4.57595, 4.57595]","[4.6183, 4.6183]","[4.66066, 4.66066]","[4.70301, 4.70301]","[4.74537, 4.74537]","[4.78772, 4.78772]","[4.83008, 4.83008]","[4.87243, 4.87243]","[4.91479, 4.91479]","[4.95714, 4.95714]","[4.99949, 4.99949]"
"[150.0, 175.0]","[4.76223, 6.27037]","[3.37151, 5.03187]","[1.4716, 3.2842]","[0.397, 2.36182]","[0.87496, 2.99201]","[2.37094, 4.64023]","[4.14888, 5.50848]","[4.07098, 6.10606]","[3.3551, 5.84801]","[3.23993, 5.4482]","[3.84575, 5.84377]","[4.82985, 6.33697]"
"[175.0, 200.0]","[4.54445, 6.09335]","[3.15741, 4.78028]","[1.43117, 3.128]","[0.59708, 2.36787]","[1.2055, 3.05025]","[2.6415, 4.56022]","[3.96778, 5.48828]","[3.85461, 5.88656]","[3.28319, 5.58144]","[3.48811, 5.13064]","[4.28092, 5.46203]","[5.05186, 6.00018]"
"[200.0, 225.0]","[5.81417, 6.91059]","[4.83874, 6.10181]","[2.20108, 3.6308]","[-0.24144, 1.35493]","[-0.63686, 1.12615]","[1.14528, 3.07494]","[3.62014, 5.34056]","[4.54847, 6.45244]","[4.10841, 5.59206]","[3.11245, 4.64129]","[3.32219, 4.79975]","[4.88822, 5.9119]"
"[225.0, 250.0]","[4.52575, 6.07866]","[3.31285, 4.92847]","[1.46456, 3.1429]","[0.33617, 2.07722]","[0.76326, 2.56702]","[2.29616, 4.16264]","[3.99287, 5.23089]","[3.97276, 5.82831]","[3.34528, 5.3444]","[3.19279, 4.73146]","[4.18275, 4.6104]","[4.47533, 5.93457]"
"[250.0, 275.0]","[4.75809, 4.75809]","[3.12905, 3.55309]","[1.5822, 2.43028]","[1.11071, 2.38283]","[1.82592, 3.52208]","[2.88569, 5.00589]","[3.99919, 5.17255]","[3.50651, 5.25534]","[2.61537, 5.34372]","[3.8662, 4.38336]","[4.31271, 5.32633]","[4.71908, 5.8488]"
"[275.0, 300.0]","[3.7449, 5.385]","[2.41061, 4.09979]","[1.02497, 2.76322]","[0.60348, 2.39081]","[1.40267, 3.23907]","[2.70119, 4.58667]","[3.96865, 4.95339]","[3.64433, 5.16173]","[2.98938, 4.98287]","[3.49839, 4.44724]","[4.08114, 4.95251]","[4.70819, 5.23535]"
"[300.0, 325.0]","[4.63325, 6.0361]","[3.6281, 5.1053]","[1.62194, 3.17349]","[0.07774, 1.70364]","[0.18076, 1.88102]","[1.73953, 3.51415]","[3.72029, 4.91081]","[4.08257, 5.64355]","[3.62679, 4.92635]","[3.11432, 4.18286]","[3.53237, 4.32536]","[4.42973, 5.34704]"
"[325.0, 350.0]","[3.61783, 5.12548]","[2.33812, 4.00069]","[0.97135, 2.78884]","[0.46223, 2.43464]","[1.10199, 3.22932]","[2.27475, 4.55699]","[4.10893, 4.42078]","[3.56918, 5.04994]","[2.99548, 4.92794]","[3.34534, 4.48215]","[3.93855, 4.76959]","[4.05362, 5.42841]"
"[350.0, 375.0]","[4.60131, 4.60131]","[3.22579, 3.66425]","[1.54337, 2.4203]","[0.67745, 1.99284]","[1.11945, 2.87331]","[2.27904, 4.47137]","[3.92454, 4.81712]","[3.77999, 5.01666]","[3.08245, 4.64451]","[3.18935, 4.09254]","[3.8373, 4.3797]","[4.16379, 5.29162]"
"[375.0, 400.0]","[3.37562, 4.57682]","[2.1157, 3.36275]","[1.01232, 2.30522]","[0.87671, 2.21546]","[1.75646, 3.14106]","[2.90536, 4.33581]","[3.90255, 4.54914]","[3.44394, 4.72599]","[2.98091, 4.49915]","[3.59094, 4.01946]","[3.87361, 4.6872]","[4.34747, 4.72046]"
"[400.0, 425.0]","[3.92158, 5.03198]","[2.85049, 3.97801]","[1.37683, 2.52147]","[0.60098, 1.76272]","[1.11602, 2.29487]","[2.46134, 3.65731]","[3.59974, 4.74608]","[3.71496, 5.00567]","[3.35749, 4.4258]","[3.15976, 4.04082]","[3.63944, 4.26419]","[4.13, 4.93342]"
"[425.0, 450.0]","[2.98805, 4.01273]","[1.85726, 2.69356]","[1.13121, 1.77913]","[1.3955, 1.85505]","[2.46116, 2.73233]","[3.55866, 3.64146]","[3.95495, 4.04615]","[3.47037, 4.19826]","[3.16795, 4.14226]","[3.87678, 3.87678]","[4.08802, 4.50502]","[3.82776, 4.75755]"
"[450.0, 475.0]","[4.27242, 4.27242]","[2.98968, 3.39619]","[1.45123, 2.26425]","[0.67496, 1.89449]","[1.10855, 2.73459]","[2.21539, 4.24794]","[3.87165, 4.53603]","[3.64243, 4.92447]","[3.09137, 4.53893]","[3.32045, 3.84862]","[3.8102, 4.08491]","[3.88451, 4.99741]"
"[475.0, 500.0]","[4.08803, 4.08803]","[2.67747, 3.16628]","[1.26105, 2.23866]","[0.7437, 2.21011]","[1.31402, 3.26923]","[2.27829, 4.72231]","[3.93394, 4.44243]","[3.47945, 4.63151]","[2.94816, 4.27816]","[3.29007, 3.8512]","[3.8466, 4.26294]","[4.10122, 4.81964]"
"[500.0, 550.0]","[3.64146, 4.3862]","[2.5354, 3.38676]","[1.24853, 2.20649]","[0.71483, 1.77942]","[1.30933, 2.48053]","[2.50124, 3.77905]","[3.62764, 4.46363]","[3.65562, 4.58936]","[3.10054, 4.3141]","[3.12759, 3.90211]","[3.56144, 4.12442]","[3.85868, 4.63424]"
