,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[150.0, 175.0]","[3.19327, 3.2384]","[3.1867, 3.24045]","[3.18014, 3.24251]","[3.17358, 3.24457]","[3.16702, 3.24662]","[3.13685, 3.32338]","[3.04379, 3.46988]","[3.0136, 3.48153]","[3.032, 3.43913]","[3.10017, 3.33953]","[3.20204, 3.26723]","[3.19655, 3.2428]"
"[175.0, 200.0]","[2.38669, 2.45519]","[1.35359, 1.4503]","[0.88496, 1.00989]","[1.33822, 1.49136]","[2.35133, 2.53268]","[3.17662, 3.38618]","[3.44941, 3.49548]","[3.03041, 3.37109]","[2.85493, 3.16814]","[3.07353, 3.30873]","[3.42173, 3.48748]","[3.2388, 3.27909]"
"[200.0, 225.0]","[2.03076, 2.08123]","[1.22661, 1.27527]","[1.21584, 1.26268]","[2.00655, 2.05158]","[2.97728, 3.02049]","[3.40754, 3.5405]","[3.2984, 3.34597]","[2.93968, 3.04814]","[2.91375, 3.07022]","[3.24845, 3.39537]","[3.45999, 3.51086]","[2.99775, 3.05004]"
"[225.0, 250.0]","[3.1531, 3.19078]","[3.16088, 3.19707]","[3.16866, 3.20336]","[3.17645, 3.20965]","[3.18423, 3.21594]","[3.13478, 3.24683]","[3.01329, 3.41925]","[2.99538, 3.4803]","[3.01509, 3.39978]","[3.09247, 3.28155]","[3.16112, 3.23042]","[3.16085, 3.20787]"
"[250.0, 275.0]","[3.03481, 3.03481]","[2.07541, 2.10515]","[1.24526, 1.30474]","[1.18389, 1.27311]","[1.93453, 2.05348]","[2.90178, 3.05047]","[3.30595, 3.6753]","[3.24107, 3.49665]","[2.85107, 3.21644]","[2.91583, 3.0765]","[3.28579, 3.3081]","[3.45226, 3.47816]"
"[275.0, 300.0]","[2.37866, 2.42462]","[1.35226, 1.42069]","[0.88362, 0.97451]","[1.33163, 1.44498]","[2.33781, 2.47362]","[3.15777, 3.31604]","[3.34163, 3.50402]","[3.10076, 3.19741]","[2.90214, 3.01948]","[3.05304, 3.23653]","[3.38962, 3.44293]","[3.21902, 3.24252]"
"[300.0, 325.0]","[1.9858, 2.0073]","[1.21208, 1.23157]","[1.24449, 1.26195]","[2.05803, 2.07347]","[3.01644, 3.02986]","[3.42521, 3.5086]","[3.2656, 3.32375]","[2.93369, 3.00864]","[2.93795, 3.03215]","[3.26654, 3.3655]","[3.44471, 3.46899]","[2.95607, 2.97959]"
"[325.0, 350.0]","[3.13336, 3.14077]","[3.04997, 3.05933]","[3.00241, 3.01372]","[3.03172, 3.04499]","[3.11904, 3.13425]","[3.18277, 3.2371]","[3.13121, 3.34348]","[3.13781, 3.28678]","[3.03814, 3.32351]","[3.10953, 3.25037]","[3.18649, 3.21177]","[3.18354, 3.20423]"
"[350.0, 375.0]","[2.00731, 2.01385]","[1.23258, 1.24125]","[1.25202, 1.26282]","[2.05088, 2.06381]","[3.00721, 3.02227]","[3.41871, 3.53069]","[3.2033, 3.44316]","[2.87022, 3.14689]","[2.89881, 3.12786]","[3.2907, 3.3634]","[3.45255, 3.46347]","[2.97056, 2.97496]"
"[375.0, 400.0]","[2.40928, 2.43362]","[1.38346, 1.42373]","[0.91288, 0.96909]","[1.36311, 1.43525]","[2.37697, 2.46504]","[3.20467, 3.30867]","[3.40068, 3.48065]","[3.10679, 3.20939]","[2.93938, 2.98192]","[3.09082, 3.19486]","[3.41457, 3.42834]","[3.24163, 3.25003]"
