,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[2000.0, 2100.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[1.87849, 1.87849]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[2100.0, 2200.0]","[1.12586, 1.2543]","[0.67238, 0.79008]","[0.68532, 0.79228]","[1.15647, 1.25269]","[1.72078, 1.80625]","[1.99987, 2.06366]","[1.89062, 1.99666]","[1.72536, 1.80067]","[1.72209, 1.82259]","[1.91467, 2.01121]","[1.9853, 2.10168]","[1.68875, 1.82793]"
"[2200.0, 2300.0]","[1.77948, 1.8704]","[1.78485, 1.88717]","[1.79539, 1.8913]","[1.79408, 1.88359]","[1.785, 1.86811]","[1.78977, 1.84782]","[1.78235, 1.86518]","[1.79797, 1.87657]","[1.79397, 1.89944]","[1.7943, 1.89248]","[1.77745, 1.88472]","[1.76339, 1.88078]"
"[2300.0, 2400.0]","[1.7362, 1.82399]","[1.73713, 1.83004]","[1.7393, 1.82989]","[1.73609, 1.82436]","[1.73128, 1.81724]","[1.72553, 1.82155]","[1.73107, 1.83073]","[1.74634, 1.83714]","[1.74259, 1.85325]","[1.75318, 1.83711]","[1.73275, 1.84081]","[1.7269, 1.83372]"
"[2400.0, 2500.0]","[1.69529, 1.77728]","[1.69585, 1.78335]","[1.69807, 1.78353]","[1.69451, 1.77794]","[1.68846, 1.76985]","[1.68755, 1.7662]","[1.68919, 1.77745]","[1.70241, 1.78703]","[1.69134, 1.81391]","[1.71079, 1.79239]","[1.69217, 1.79572]","[1.69458, 1.77967]"
"[2500.0, 2600.0]","[1.6644, 1.73745]","[1.657, 1.73637]","[1.64951, 1.72812]","[1.64363, 1.72147]","[1.64545, 1.72252]","[1.64405, 1.74402]","[1.65552, 1.75826]","[1.67061, 1.75875]","[1.65651, 1.77151]","[1.66821, 1.74818]","[1.65443, 1.75199]","[1.66311, 1.74027]"
"[2600.0, 2700.0]","[1.63163, 1.70169]","[1.63137, 1.70291]","[1.63187, 1.69689]","[1.63068, 1.68918]","[1.63237, 1.68435]","[1.61783, 1.70748]","[1.62732, 1.71439]","[1.63732, 1.71746]","[1.63157, 1.72432]","[1.63638, 1.70996]","[1.62317, 1.71228]","[1.62896, 1.70232]"
"[2700.0, 2800.0]","[1.60723, 1.66913]","[1.60907, 1.67012]","[1.60715, 1.66703]","[1.6025, 1.66121]","[1.59982, 1.65736]","[1.58952, 1.67241]","[1.59982, 1.67586]","[1.60747, 1.68065]","[1.60419, 1.68614]","[1.60615, 1.67659]","[1.59782, 1.67618]","[1.60047, 1.67157]"
"[2800.0, 2900.0]","[1.58571, 1.64069]","[1.5881, 1.64548]","[1.5918, 1.641]","[1.59068, 1.63169]","[1.58876, 1.62159]","[1.56668, 1.64039]","[1.57495, 1.64032]","[1.58201, 1.6455]","[1.57967, 1.65374]","[1.5825, 1.64702]","[1.57561, 1.6465]","[1.57738, 1.6429]"
"[2900.0, 3000.0]","[1.56759, 1.6153]","[1.56626, 1.62124]","[1.56965, 1.6166]","[1.56956, 1.60848]","[1.56881, 1.5997]","[1.55242, 1.61267]","[1.55622, 1.61391]","[1.55753, 1.62131]","[1.55448, 1.62952]","[1.56281, 1.62]","[1.55584, 1.62317]","[1.5622, 1.61633]"
