,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[150.0, 175.0]","[34.18432, 34.18432]","[34.18338, 34.18753]","[34.18245, 34.19074]","[34.18152, 34.19395]","[34.18059, 34.19716]","[34.17965, 34.20037]","[34.17872, 34.20358]","[34.17779, 34.20679]","[34.17685, 34.21]","[34.17592, 34.21321]","[34.17499, 34.21642]","[34.17405, 34.21963]"
"[175.0, 200.0]","[34.1954, 34.1954]","[34.19371, 34.19718]","[34.19202, 34.19896]","[34.19033, 34.20073]","[34.18864, 34.20251]","[34.18695, 34.20428]","[34.18526, 34.20606]","[34.18357, 34.20784]","[34.18188, 34.20961]","[34.18018, 34.21139]","[34.17849, 34.21317]","[34.1768, 34.21494]"
"[200.0, 225.0]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]"
"[225.0, 250.0]","[34.18967, 34.18967]","[34.18786, 34.19078]","[34.18605, 34.19188]","[34.18424, 34.19298]","[34.18242, 34.19408]","[34.18061, 34.19519]","[34.1788, 34.19629]","[34.17699, 34.19739]","[34.17517, 34.19849]","[34.17336, 34.1996]","[34.17155, 34.2007]","[34.16974, 34.2018]"
"[250.0, 275.0]","[34.18493, 34.18493]","[34.18366, 34.18614]","[34.1824, 34.18735]","[34.18114, 34.18857]","[34.17988, 34.18978]","[34.17862, 34.191]","[34.17736, 34.19221]","[34.1761, 34.19342]","[34.17483, 34.19464]","[34.17357, 34.19585]","[34.17231, 34.19707]","[34.17105, 34.19828]"
"[275.0, 300.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[34.17689, 34.1874]"
"[300.0, 325.0]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]"
"[325.0, 350.0]","[34.18739, 34.18739]","[34.18547, 34.1877]","[34.18355, 34.18802]","[34.18163, 34.18834]","[34.17971, 34.18866]","[34.17779, 34.18897]","[34.17587, 34.18929]","[34.17395, 34.18961]","[34.17203, 34.18993]","[34.17011, 34.19025]","[34.16819, 34.19056]","[34.16627, 34.19088]"
"[350.0, 375.0]","[34.18458, 34.18458]","[34.18272, 34.18595]","[34.18086, 34.18732]","[34.17899, 34.18869]","[34.17713, 34.19006]","[34.17527, 34.19143]","[34.17341, 34.1928]","[34.17155, 34.19417]","[34.16969, 34.19554]","[34.16783, 34.1969]","[34.16597, 34.19827]","[34.16411, 34.19964]"
"[375.0, 400.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[34.15377, 34.19982]"
"[400.0, 425.0]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]","[0, 42]"
"[425.0, 450.0]","[34.189, 34.189]","[34.18873, 34.18873]","[34.18846, 34.18846]","[34.18819, 34.18819]","[34.18792, 34.18792]","[34.18765, 34.18765]","[34.18738, 34.18738]","[34.18711, 34.18711]","[34.18684, 34.18684]","[34.18657, 34.18657]","[34.1863, 34.1863]","[34.18603, 34.18603]"
"[450.0, 475.0]","[34.18562, 34.18562]","[34.18124, 34.18748]","[34.17686, 34.18935]","[34.17248, 34.19122]","[34.1681, 34.19308]","[34.16372, 34.19495]","[34.15934, 34.19682]","[34.15496, 34.19868]","[34.15058, 34.20055]","[34.1462, 34.20241]","[34.14182, 34.20428]","[34.13744, 34.20615]"
"[475.0, 500.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[34.11537, 34.21664]"
"[500.0, 550.0]","[34.18881, 34.18881]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
"[550.0, 600.0]","[34.17671, 34.17671]","[34.1712, 34.17936]","[34.16568, 34.18201]","[34.16017, 34.18466]","[34.15465, 34.18731]","[34.14914, 34.18996]","[34.14362, 34.1926]","[34.13811, 34.19525]","[34.1326, 34.1979]","[34.12708, 34.20055]","[34.12157, 34.2032]","[34.11605, 34.20585]"
"[600.0, 650.0]","[34.1607, 34.1607]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
