,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[2200.0, 2300.0]","[3.1506, 3.15861]","[3.15057, 3.15946]","[3.15054, 3.16032]","[3.15051, 3.16117]","[3.15047, 3.16202]","[3.15044, 3.16287]","[3.15041, 3.16372]","[3.15038, 3.16458]","[3.15035, 3.16543]","[3.15031, 3.16628]","[3.15028, 3.16713]","[3.15025, 3.16799]"
"[2300.0, 2400.0]","[3.14724, 3.15813]","[3.14729, 3.15883]","[3.14734, 3.15953]","[3.14739, 3.16023]","[3.14744, 3.16093]","[3.14749, 3.16163]","[3.14753, 3.16233]","[3.14758, 3.16302]","[3.14763, 3.16372]","[3.14768, 3.16442]","[3.14773, 3.16512]","[3.14778, 3.16582]"
"[2400.0, 2500.0]","[3.14638, 3.15712]","[3.14638, 3.15755]","[3.14637, 3.15799]","[3.14637, 3.15843]","[3.14637, 3.15886]","[3.14637, 3.1593]","[3.14637, 3.15974]","[3.14637, 3.16018]","[3.14637, 3.16061]","[3.14636, 3.16105]","[3.14636, 3.16149]","[3.14636, 3.16192]"
"[2500.0, 2600.0]","[3.14628, 3.15524]","[3.14653, 3.15531]","[3.14677, 3.15538]","[3.14702, 3.15545]","[3.14726, 3.15552]","[3.14751, 3.1556]","[3.14775, 3.15567]","[3.148, 3.15574]","[3.14824, 3.15581]","[3.14849, 3.15588]","[3.14873, 3.15595]","[3.14898, 3.15602]"
"[2600.0, 2700.0]","[3.14772, 3.15397]","[3.14723, 3.15436]","[3.14674, 3.15476]","[3.14625, 3.15516]","[3.14575, 3.15556]","[3.14526, 3.15596]","[3.14477, 3.15636]","[3.14428, 3.15676]","[3.14379, 3.15716]","[3.14329, 3.15756]","[3.1428, 3.15796]","[3.14231, 3.15835]"
"[2700.0, 2800.0]","[3.14465, 3.15638]","[3.14436, 3.15627]","[3.14407, 3.15617]","[3.14378, 3.15607]","[3.14349, 3.15597]","[3.1432, 3.15587]","[3.14291, 3.15577]","[3.14262, 3.15567]","[3.14233, 3.15557]","[3.14204, 3.15546]","[3.14175, 3.15536]","[3.14146, 3.15526]"
"[2800.0, 2900.0]","[3.14806, 3.14978]","[3.14745, 3.15004]","[3.14685, 3.15031]","[3.14624, 3.15057]","[3.14563, 3.15083]","[3.14503, 3.1511]","[3.14442, 3.15136]","[3.14381, 3.15162]","[3.1432, 3.15189]","[3.1426, 3.15215]","[3.14199, 3.15241]","[3.14138, 3.15268]"
"[2900.0, 3000.0]","[3.14654, 3.1502]","[3.146, 3.15037]","[3.14545, 3.15054]","[3.14491, 3.1507]","[3.14436, 3.15087]","[3.14381, 3.15104]","[3.14327, 3.15121]","[3.14272, 3.15138]","[3.14218, 3.15155]","[3.14163, 3.15172]","[3.14109, 3.15189]","[3.14054, 3.15206]"
"[3000.0, 3100.0]","[3.14733, 3.14956]","[3.14671, 3.14969]","[3.14609, 3.14983]","[3.14547, 3.14996]","[3.14484, 3.1501]","[3.14422, 3.15024]","[3.1436, 3.15037]","[3.14298, 3.15051]","[3.14236, 3.15064]","[3.14174, 3.15078]","[3.14111, 3.15091]","[3.14049, 3.15105]"
"[3100.0, 3200.0]","[3.14633, 3.14983]","[3.14573, 3.14985]","[3.14514, 3.14986]","[3.14454, 3.14988]","[3.14395, 3.1499]","[3.14335, 3.14992]","[3.14275, 3.14993]","[3.14216, 3.14995]","[3.14156, 3.14997]","[3.14096, 3.14999]","[3.14037, 3.15]","[3.13977, 3.15002]"
"[3200.0, 3300.0]","[3.14428, 3.14829]","[3.14387, 3.14828]","[3.14346, 3.14827]","[3.14305, 3.14826]","[3.14264, 3.14825]","[3.14223, 3.14824]","[3.14182, 3.14823]","[3.14141, 3.14822]","[3.141, 3.14821]","[3.14059, 3.1482]","[3.14018, 3.14818]","[3.13976, 3.14817]"
"[3300.0, 3400.0]","[3.14413, 3.14664]","[3.14348, 3.14674]","[3.14283, 3.14683]","[3.14218, 3.14692]","[3.14152, 3.14701]","[3.14087, 3.14711]","[3.14022, 3.1472]","[3.13957, 3.14729]","[3.13892, 3.14738]","[3.13826, 3.14748]","[3.13761, 3.14757]","[3.13696, 3.14766]"
"[3400.0, 3500.0]","[3.14097, 3.14626]","[3.14033, 3.14638]","[3.13969, 3.14649]","[3.13906, 3.1466]","[3.13842, 3.14671]","[3.13779, 3.14683]","[3.13715, 3.14694]","[3.13651, 3.14705]","[3.13588, 3.14716]","[3.13524, 3.14728]","[3.13461, 3.14739]","[3.13397, 3.1475]"
"[3500.0, 3600.0]","[3.13929, 3.14382]","[3.13857, 3.144]","[3.13784, 3.14419]","[3.13712, 3.14437]","[3.13639, 3.14456]","[3.13567, 3.14474]","[3.13494, 3.14493]","[3.13421, 3.14512]","[3.13349, 3.1453]","[3.13276, 3.14549]","[3.13204, 3.14567]","[3.13131, 3.14586]"
"[3600.0, 3700.0]","[3.13712, 3.14063]","[3.13627, 3.14086]","[3.13541, 3.14109]","[3.13455, 3.14132]","[3.1337, 3.14155]","[3.13284, 3.14178]","[3.13199, 3.14201]","[3.13113, 3.14224]","[3.13028, 3.14247]","[3.12942, 3.1427]","[3.12857, 3.14293]","[3.12771, 3.14316]"
"[3700.0, 3800.0]","[3.13135, 3.13892]","[3.13068, 3.13909]","[3.13002, 3.13926]","[3.12935, 3.13943]","[3.12869, 3.1396]","[3.12802, 3.13977]","[3.12735, 3.13994]","[3.12669, 3.14011]","[3.12602, 3.14028]","[3.12536, 3.14045]","[3.12469, 3.14062]","[3.12402, 3.14079]"
"[3800.0, 3900.0]","[3.12534, 3.13679]","[3.12484, 3.13681]","[3.12434, 3.13683]","[3.12383, 3.13686]","[3.12333, 3.13688]","[3.12283, 3.1369]","[3.12233, 3.13693]","[3.12183, 3.13695]","[3.12133, 3.13697]","[3.12083, 3.13699]","[3.12033, 3.13702]","[3.11983, 3.13704]"
"[3900.0, 4000.0]","[3.12504, 3.12934]","[3.12428, 3.12973]","[3.12353, 3.13012]","[3.12278, 3.13051]","[3.12203, 3.13089]","[3.12127, 3.13128]","[3.12052, 3.13167]","[3.11977, 3.13206]","[3.11902, 3.13245]","[3.11826, 3.13284]","[3.11751, 3.13323]","[3.11676, 3.13362]"
"[4000.0, 4100.0]","[3.1192, 3.12603]","[3.11891, 3.12623]","[3.11862, 3.12643]","[3.11833, 3.12663]","[3.11804, 3.12683]","[3.11775, 3.12703]","[3.11746, 3.12723]","[3.11717, 3.12743]","[3.11688, 3.12763]","[3.11659, 3.12784]","[3.1163, 3.12804]","[3.11601, 3.12824]"
"[4100.0, 4200.0]","[3.11933, 3.12165]","[3.1187, 3.12195]","[3.11807, 3.12224]","[3.11744, 3.12254]","[3.11681, 3.12284]","[3.11618, 3.12314]","[3.11556, 3.12344]","[3.11493, 3.12374]","[3.1143, 3.12404]","[3.11367, 3.12433]","[3.11304, 3.12463]","[3.11241, 3.12493]"
"[4200.0, 4300.0]","[3.11793, 3.12102]","[3.11759, 3.12113]","[3.11726, 3.12124]","[3.11693, 3.12135]","[3.1166, 3.12146]","[3.11627, 3.12157]","[3.11593, 3.12168]","[3.1156, 3.12179]","[3.11527, 3.1219]","[3.11494, 3.12202]","[3.11461, 3.12213]","[3.11427, 3.12224]"
