"[nan, nan]","[nan, nan]","[-195.43, 649.5]","[-239.85, 542.83]","[-74.47, 485.75]","[278.64, 299.74]","[-94.21, 674.6]","[-164.14, 573.38]","[-64.77, 347.15]","[-238.77, 651.67]","[19.86, 753.49]","[nan, nan]"
"[-95.75, 634.27]","[-97.13, 631.56]","[-66.96, 598.13]","[-56.88, 583.04]","[-35.87, 555.09]","[-72.34, 586.45]","[-69.9, 585.53]","[-39.27, 564.22]","[-51.57, 589.21]","[26.31, 520.52]","[-43.64, 592.2]","[-128.78, 673.03]"
"[149.12, 495.43]","[120.72, 498.63]","[106.02, 481.45]","[82.7, 490.72]","[117.63, 466.08]","[164.7, 437.63]","[177.06, 431.27]","[143.98, 453.39]","[61.52, 524.1]","[148.37, 443.83]","[132.67, 485.42]","[149.7, 493.39]"
"[254.55, 407.11]","[202.19, 441.44]","[198.29, 415.58]","[146.42, 448.44]","[180.98, 416.26]","[141.37, 470.03]","[190.56, 428.54]","[180.17, 432.52]","[126.27, 476.57]","[166.82, 439.88]","[150.03, 478.73]","[295.28, 358.9]"
"[293.54, 360.13]","[145.97, 490.33]","[224.25, 394.46]","[204.34, 406.15]","[222.44, 391.24]","[195.55, 426.9]","[235.11, 394.5]","[248.66, 384.73]","[251.11, 386.61]","[284.04, 362.27]","[237.0, 419.73]","[298.06, 363.13]"
"[254.56, 407.97]","[251.27, 397.63]","[230.42, 398.96]","[199.85, 417.83]","[248.2, 371.91]","[221.92, 408.75]","[249.04, 389.0]","[237.85, 399.23]","[211.46, 421.93]","[234.95, 401.5]","[242.76, 405.85]","[225.19, 436.07]"
"[230.83, 432.48]","[252.95, 398.2]","[235.84, 401.42]","[254.03, 375.27]","[259.93, 370.16]","[254.5, 381.7]","[255.66, 386.4]","[268.86, 376.54]","[265.81, 382.73]","[286.92, 367.66]","[251.54, 411.07]","[272.16, 395.09]"
"[305.47, 364.13]","[256.85, 401.96]","[293.68, 351.36]","[266.89, 368.89]","[280.34, 354.16]","[209.83, 428.9]","[259.85, 383.69]","[271.99, 374.67]","[270.25, 379.8]","[288.25, 368.36]","[253.98, 411.59]","[309.01, 362.7]"
"[310.08, 361.58]","[311.01, 350.42]","[291.93, 356.39]","[271.83, 367.65]","[282.37, 355.54]","[212.9, 428.15]","[262.85, 381.57]","[273.56, 372.93]","[273.89, 375.78]","[287.6, 369.15]","[285.76, 380.72]","[311.13, 362.14]"
"[263.69, 405.2]","[270.08, 389.13]","[288.9, 359.43]","[274.72, 367.41]","[283.54, 358.21]","[264.03, 379.81]","[265.88, 378.99]","[273.93, 371.18]","[276.57, 371.36]","[287.36, 368.19]","[283.34, 382.04]","[310.82, 360.53]"
"[309.41, 357.92]","[248.4, 409.79]","[286.16, 361.5]","[275.38, 366.0]","[257.69, 382.81]","[265.7, 376.21]","[266.63, 375.8]","[273.01, 369.44]","[277.38, 367.95]","[285.59, 367.48]","[280.99, 382.09]","[309.36, 359.97]"
"[260.14, 399.46]","[166.18, 484.01]","[281.84, 360.59]","[275.43, 364.51]","[282.39, 358.56]","[266.82, 374.4]","[266.14, 372.98]","[270.3, 367.35]","[277.53, 363.66]","[284.17, 366.15]","[278.69, 381.49]","[306.05, 358.09]"
"[304.69, 357.66]","[301.37, 353.52]","[281.27, 363.86]","[274.79, 363.64]","[279.02, 357.29]","[265.89, 370.4]","[265.48, 370.18]","[268.97, 365.87]","[277.65, 359.45]","[280.95, 363.63]","[275.47, 379.5]","[305.12, 357.36]"
"[301.83, 356.71]","[296.83, 354.43]","[277.74, 363.79]","[272.63, 362.09]","[276.14, 356.23]","[264.28, 367.78]","[263.83, 367.26]","[266.7, 363.32]","[277.57, 354.62]","[278.27, 361.52]","[273.13, 377.36]","[302.76, 355.6]"
"[294.75, 356.1]","[288.86, 355.34]","[272.69, 362.29]","[267.85, 360.55]","[271.42, 354.43]","[262.41, 362.5]","[260.66, 362.42]","[262.47, 358.77]","[274.28, 348.69]","[273.5, 357.07]","[267.51, 374.11]","[297.72, 352.32]"
"[285.79, 352.1]","[276.92, 354.76]","[264.8, 358.32]","[261.11, 356.14]","[263.78, 351.22]","[258.38, 355.16]","[254.77, 355.73]","[254.71, 352.64]","[267.48, 340.88]","[266.76, 349.26]","[258.74, 368.89]","[289.54, 347.1]"
"[276.32, 346.06]","[263.94, 352.78]","[255.45, 353.32]","[252.44, 350.9]","[255.23, 345.95]","[250.95, 348.55]","[247.11, 348.94]","[246.56, 345.89]","[259.78, 333.27]","[256.73, 343.66]","[250.56, 361.23]","[279.91, 340.92]"
"[264.01, 340.58]","[249.1, 350.35]","[244.95, 347.1]","[242.88, 344.28]","[245.61, 339.83]","[241.63, 342.26]","[237.81, 342.3]","[237.48, 338.31]","[249.88, 325.66]","[245.95, 336.28]","[240.01, 353.39]","[267.08, 335.53]"
"[251.26, 332.89]","[235.08, 345.14]","[234.02, 339.6]","[232.61, 336.44]","[234.49, 333.03]","[231.4, 334.95]","[228.74, 334.15]","[227.43, 330.87]","[239.59, 317.32]","[236.68, 325.35]","[228.93, 343.14]","[256.5, 324.74]"
"[240.12, 323.2]","[222.26, 337.68]","[223.1, 330.6]","[220.84, 328.48]","[223.69, 324.34]","[222.39, 324.85]","[220.73, 323.38]","[218.49, 320.93]","[229.64, 307.74]","[226.65, 314.92]","[218.44, 332.48]","[247.43, 312.56]"
"[230.95, 311.39]","[211.36, 327.8]","[214.32, 319.0]","[212.25, 316.97]","[214.88, 313.18]","[214.03, 313.29]","[213.96, 310.39]","[211.45, 308.42]","[222.01, 295.88]","[218.77, 303.04]","[209.08, 321.56]","[239.1, 300.11]"
"[223.7, 298.7]","[203.98, 315.47]","[208.03, 305.55]","[205.92, 303.24]","[207.08, 300.67]","[206.3, 300.93]","[208.42, 296.51]","[203.88, 297.22]","[214.98, 284.28]","[211.72, 291.01]","[204.4, 306.51]","[230.37, 288.77]"
"[216.18, 287.45]","[197.42, 303.32]","[201.99, 293.03]","[200.45, 290.19]","[201.13, 288.06]","[199.21, 289.62]","[202.39, 284.67]","[197.35, 286.57]","[207.79, 274.68]","[204.36, 281.35]","[198.63, 294.57]","[222.03, 278.69]"
"[209.6, 277.39]","[191.46, 292.51]","[195.76, 282.55]","[194.6, 279.46]","[195.51, 277.32]","[193.25, 279.61]","[195.93, 275.66]","[190.89, 278.0]","[200.68, 266.88]","[198.08, 272.46]","[192.1, 285.39]","[214.66, 269.79]"
"[203.42, 268.36]","[167.81, 300.48]","[189.99, 273.08]","[189.56, 270.12]","[191.23, 267.86]","[187.76, 271.54]","[189.81, 268.3]","[185.12, 270.7]","[194.31, 260.83]","[192.92, 265.5]","[188.04, 276.78]","[207.93, 262.58]"
"[198.91, 261.46]","[184.66, 272.5]","[186.73, 265.01]","[186.16, 261.46]","[187.32, 259.1]","[164.24, 282.64]","[185.1, 261.72]","[181.09, 264.65]","[189.04, 256.48]","[188.83, 259.44]","[183.64, 270.12]","[202.59, 256.36]"
"[195.65, 255.15]","[183.3, 263.99]","[183.78, 258.0]","[183.48, 254.31]","[184.76, 252.08]","[163.71, 273.96]","[181.47, 256.59]","[178.13, 259.26]","[184.02, 253.37]","[186.85, 253.22]","[180.48, 264.71]","[198.15, 251.71]"
"[193.67, 249.68]","[182.39, 257.12]","[181.92, 252.16]","[181.14, 249.25]","[182.96, 246.83]","[173.01, 257.89]","[178.84, 252.72]","[175.97, 255.26]","[180.31, 251.22]","[184.59, 249.65]","[178.61, 260.42]","[194.59, 248.45]"
