"[4.21, 360.92]","[4.07, 354.54]","[1.85, 349.0]","[-3.87, 354.57]","[12.49, 344.37]","[13.9, 345.66]","[4.65, 346.64]","[1.47, 334.15]","[-45.51, 370.37]","[-85.19, 413.88]","[-9.11, 353.82]","[-0.43, 360.97]"
"[155.84, 237.44]","[126.08, 263.69]","[145.54, 242.65]","[142.28, 245.82]","[155.68, 231.75]","[122.64, 262.51]","[170.35, 212.4]","[171.68, 211.27]","[127.66, 259.26]","[84.55, 308.16]","[160.86, 235.82]","[160.04, 236.54]"
"[162.09, 226.5]","[158.72, 228.19]","[175.59, 212.52]","[177.22, 211.03]","[158.7, 226.46]","[140.18, 241.02]","[170.71, 210.36]","[174.12, 212.77]","[185.74, 209.88]","[195.82, 205.44]","[183.03, 217.17]","[179.75, 214.48]"
"[177.17, 208.76]","[171.04, 213.37]","[176.55, 208.99]","[176.52, 208.73]","[164.66, 217.14]","[140.56, 237.55]","[170.96, 207.96]","[174.46, 211.37]","[186.37, 208.65]","[196.29, 203.94]","[183.07, 215.22]","[178.72, 212.95]"
"[152.36, 231.68]","[171.48, 211.22]","[176.06, 207.79]","[175.61, 207.73]","[159.22, 220.47]","[131.02, 245.09]","[170.93, 206.48]","[174.6, 210.24]","[186.08, 208.11]","[195.35, 203.76]","[183.16, 213.51]","[178.02, 211.72]"
"[156.73, 227.25]","[172.63, 209.96]","[176.18, 207.55]","[175.57, 207.62]","[161.52, 218.13]","[159.55, 216.99]","[171.45, 207.16]","[175.18, 211.58]","[187.43, 208.87]","[197.16, 203.64]","[184.71, 212.87]","[178.29, 211.7]"
"[177.07, 208.41]","[174.43, 209.59]","[170.05, 214.66]","[175.79, 207.77]","[173.51, 206.1]","[122.31, 254.16]","[171.56, 207.22]","[175.33, 211.86]","[188.32, 208.58]","[198.76, 202.74]","[185.31, 213.18]","[178.92, 212.32]"
"[177.26, 209.06]","[142.35, 241.65]","[148.33, 236.42]","[176.44, 208.24]","[169.5, 212.66]","[163.63, 216.23]","[173.13, 208.94]","[176.74, 213.12]","[189.68, 209.46]","[200.29, 203.48]","[186.3, 214.51]","[179.89, 213.19]"
"[177.75, 210.24]","[131.45, 254.02]","[135.48, 250.24]","[176.31, 208.69]","[137.78, 244.34]","[133.11, 246.98]","[173.43, 209.71]","[177.95, 213.88]","[191.25, 210.32]","[201.95, 204.15]","[187.19, 215.63]","[180.8, 214.04]"
"[142.21, 246.61]","[134.86, 252.3]","[169.91, 218.86]","[178.34, 210.57]","[166.55, 219.33]","[146.69, 236.4]","[174.38, 211.2]","[179.18, 215.18]","[192.56, 211.92]","[203.11, 205.82]","[188.16, 216.67]","[181.69, 214.21]"
"[179.74, 213.96]","[179.59, 212.39]","[180.38, 211.85]","[163.15, 227.68]","[148.1, 239.18]","[167.31, 217.87]","[175.69, 212.94]","[180.85, 216.75]","[193.71, 213.32]","[203.76, 207.08]","[189.19, 217.95]","[183.81, 215.76]"
"[165.27, 229.34]","[147.09, 246.1]","[181.35, 213.16]","[180.71, 213.16]","[158.38, 231.71]","[154.45, 232.71]","[150.11, 240.07]","[181.79, 217.91]","[195.2, 215.01]","[205.53, 209.03]","[190.42, 219.82]","[184.75, 216.59]"
"[151.56, 244.78]","[139.28, 255.07]","[161.8, 233.9]","[157.57, 238.21]","[173.83, 219.07]","[150.5, 239.89]","[171.18, 221.98]","[182.87, 219.27]","[196.17, 216.2]","[206.6, 210.26]","[191.46, 221.29]","[185.84, 217.85]"
"[182.66, 218.56]","[184.08, 215.93]","[177.42, 223.06]","[157.96, 240.28]","[162.44, 230.47]","[106.28, 282.9]","[140.39, 251.95]","[166.04, 236.47]","[188.25, 225.44]","[207.33, 211.28]","[192.47, 222.52]","[187.6, 219.47]"
"[146.37, 256.32]","[183.44, 215.6]","[143.97, 256.42]","[151.88, 249.52]","[181.61, 216.01]","[109.58, 281.22]","[116.68, 271.05]","[86.43, 306.99]","[146.57, 259.05]","[205.85, 210.24]","[194.03, 223.8]","[189.63, 221.48]"
"[184.41, 220.49]","[140.09, 261.32]","[160.48, 241.82]","[128.17, 273.21]","[136.62, 258.11]","[87.34, 298.52]","[86.01, 297.07]","[104.76, 286.56]","[156.88, 249.76]","[207.52, 211.47]","[195.6, 225.3]","[190.74, 222.83]"
"[145.2, 258.9]","[178.48, 226.32]","[116.47, 289.59]","[122.4, 276.43]","[77.14, 306.57]","[135.9, 236.26]","[31.35, 344.62]","[195.96, 199.49]","[207.21, 210.78]","[212.62, 216.23]","[196.97, 226.81]","[189.61, 221.92]"
"[186.76, 222.08]","[182.81, 224.57]","[160.89, 248.02]","[167.45, 239.42]","[127.3, 271.78]","[193.54, 197.44]","[193.53, 197.34]","[198.98, 202.54]","[206.74, 210.01]","[211.66, 214.65]","[197.49, 227.42]","[191.89, 224.38]"
"[187.19, 222.51]","[163.81, 244.59]","[167.56, 242.89]","[180.99, 227.9]","[129.65, 271.45]","[194.37, 198.2]","[194.25, 197.74]","[199.65, 202.89]","[207.36, 210.66]","[212.25, 215.6]","[198.23, 228.16]","[192.36, 225.03]"
"[187.15, 222.67]","[125.68, 280.2]","[117.89, 287.37]","[137.86, 264.96]","[80.46, 316.07]","[193.56, 197.21]","[194.52, 197.87]","[200.31, 203.31]","[207.65, 211.12]","[212.26, 216.21]","[198.75, 228.71]","[192.95, 225.75]"
"[187.04, 222.77]","[128.46, 276.53]","[138.14, 266.84]","[65.14, 339.32]","[166.32, 233.95]","[196.0, 199.54]","[196.83, 200.02]","[202.06, 205.09]","[209.0, 212.68]","[213.44, 217.78]","[199.87, 230.06]","[193.61, 226.54]"
"[154.15, 254.47]","[129.14, 276.38]","[132.77, 272.54]","[124.83, 277.79]","[161.6, 234.7]","[194.03, 197.53]","[196.0, 199.06]","[202.41, 205.36]","[209.5, 213.28]","[213.01, 217.61]","[181.9, 245.43]","[142.19, 275.1]"
"[149.54, 262.33]","[158.27, 253.7]","[156.96, 253.89]","[145.3, 258.47]","[168.93, 224.25]","[192.06, 195.39]","[195.12, 198.05]","[202.69, 205.57]","[209.79, 213.34]","[212.27, 216.48]","[135.84, 288.31]","[153.97, 262.15]"
"[114.52, 293.12]","[107.07, 298.33]","[126.69, 278.9]","[154.62, 249.71]","[198.13, 201.97]","[196.42, 199.65]","[197.1, 200.05]","[200.97, 203.93]","[157.69, 257.51]","[112.4, 309.08]","[113.72, 306.48]","[114.73, 298.99]"
"[38.24, 348.99]","[83.75, 308.82]","[101.9, 296.75]","[69.3, 326.21]","[83.96, 301.41]","[90.73, 289.92]","[130.94, 260.02]","[124.24, 287.91]","[172.26, 256.58]","[211.62, 216.6]","[41.68, 370.15]","[66.54, 327.23]"
"[nan, nan]","[nan, nan]","[-30.35, 342.26]","[-41.32, 403.44]","[9.66, 364.69]","[-14.33, 373.41]","[-81.84, 407.8]","[-81.94, 357.71]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
