"[34.68, 34.69]","[-211.63, 305.1]","[-460.57, 572.87]","[-427.05, 564.74]","[92.96, 92.97]","[-395.86, 646.17]","[-340.15, 636.82]","[-311.22, 600.71]","[-333.16, 557.66]","[-366.84, 502.86]","[-254.48, 325.33]","[-118.64, 171.27]"
"[-129.2, 729.24]","[-112.44, 729.3]","[-127.76, 731.09]","[-179.85, 748.07]","[-219.71, 753.14]","[-204.73, 720.28]","[-226.46, 740.67]","[-217.44, 734.77]","[-221.95, 738.69]","[-187.97, 705.77]","[-167.05, 699.72]","[-153.27, 717.93]"
"[90.59, 589.52]","[94.52, 597.29]","[76.94, 622.03]","[101.59, 597.45]","[108.05, 584.63]","[124.84, 558.09]","[75.58, 597.45]","[61.94, 603.01]","[101.2, 558.34]","[81.2, 576.41]","[100.23, 560.11]","[73.38, 594.97]"
"[213.11, 492.49]","[203.44, 516.2]","[228.47, 497.7]","[210.54, 514.13]","[258.61, 460.95]","[259.71, 455.24]","[231.77, 479.09]","[245.22, 459.13]","[250.42, 444.01]","[219.0, 465.98]","[192.23, 490.33]","[226.49, 464.06]"
"[236.97, 467.97]","[229.28, 489.89]","[254.27, 474.01]","[256.96, 472.5]","[270.09, 454.71]","[284.53, 433.71]","[282.3, 429.57]","[209.45, 495.59]","[258.4, 438.45]","[268.47, 420.7]","[220.2, 466.24]","[236.6, 455.49]"
"[249.67, 454.69]","[262.05, 455.88]","[270.65, 457.02]","[253.52, 476.81]","[325.64, 401.58]","[325.95, 395.89]","[301.42, 414.8]","[278.72, 431.15]","[243.32, 458.51]","[314.54, 379.1]","[247.12, 442.4]","[253.66, 439.55]"
"[242.19, 459.79]","[273.32, 441.94]","[259.23, 466.03]","[266.57, 461.49]","[305.56, 419.31]","[308.7, 411.03]","[300.86, 414.41]","[260.42, 450.3]","[291.32, 412.8]","[278.15, 417.85]","[246.16, 444.31]","[258.68, 433.52]"
"[245.73, 455.93]","[257.63, 455.49]","[287.76, 435.06]","[286.51, 440.3]","[314.48, 410.54]","[304.36, 416.03]","[323.74, 391.8]","[284.73, 426.02]","[252.98, 451.87]","[279.01, 419.03]","[271.94, 421.23]","[279.91, 414.08]"
"[286.52, 416.1]","[307.64, 406.4]","[320.74, 402.17]","[324.7, 400.88]","[309.59, 413.44]","[312.46, 406.46]","[301.14, 414.45]","[285.86, 426.39]","[267.92, 438.92]","[270.75, 428.8]","[289.98, 404.02]","[246.44, 448.23]"
"[277.38, 423.35]","[273.83, 435.55]","[280.07, 437.01]","[316.17, 404.74]","[323.99, 396.86]","[323.94, 394.8]","[323.59, 392.39]","[286.36, 425.99]","[263.09, 443.85]","[265.5, 434.91]","[279.42, 416.04]","[251.45, 443.82]"
"[281.19, 420.55]","[266.08, 443.41]","[316.53, 398.9]","[309.22, 408.39]","[295.29, 421.87]","[322.36, 393.89]","[321.52, 393.98]","[278.52, 434.84]","[303.14, 405.24]","[257.31, 444.22]","[245.19, 451.16]","[315.77, 380.53]"
"[282.61, 419.7]","[277.92, 431.08]","[321.01, 393.67]","[318.93, 397.83]","[321.34, 394.57]","[321.93, 392.71]","[318.02, 396.38]","[315.41, 398.59]","[322.86, 388.39]","[275.68, 430.14]","[312.73, 387.65]","[316.58, 382.12]"
"[323.55, 380.09]","[290.52, 418.91]","[320.77, 392.93]","[292.69, 421.98]","[320.74, 392.85]","[321.15, 391.78]","[316.62, 396.91]","[323.0, 390.69]","[322.88, 388.31]","[274.73, 431.33]","[313.02, 388.16]","[317.0, 383.06]"
"[323.5, 380.26]","[306.76, 401.93]","[283.63, 428.89]","[318.52, 395.02]","[320.65, 392.1]","[320.88, 391.43]","[316.11, 396.91]","[322.48, 390.95]","[323.57, 387.9]","[288.25, 418.72]","[313.65, 388.77]","[317.49, 383.51]"
"[323.97, 380.62]","[325.54, 384.1]","[322.67, 390.45]","[297.03, 416.43]","[320.68, 391.41]","[320.44, 391.16]","[315.95, 396.81]","[322.17, 391.55]","[323.89, 388.14]","[290.77, 416.71]","[314.6, 388.23]","[317.85, 383.68]"
"[323.53, 381.54]","[315.82, 393.49]","[301.09, 411.0]","[303.03, 409.31]","[321.36, 390.14]","[320.45, 391.24]","[316.89, 396.3]","[321.76, 392.33]","[323.6, 388.67]","[289.77, 418.08]","[315.0, 388.55]","[317.72, 384.68]"
"[323.34, 382.45]","[327.25, 382.46]","[325.53, 386.4]","[321.82, 389.84]","[313.6, 397.08]","[320.14, 391.09]","[317.85, 395.5]","[310.75, 404.01]","[323.69, 389.44]","[290.09, 418.57]","[315.66, 388.65]","[317.44, 385.74]"
"[322.88, 383.26]","[328.12, 381.31]","[325.86, 385.05]","[322.5, 387.81]","[313.66, 396.05]","[320.54, 390.52]","[319.45, 394.43]","[322.76, 392.74]","[324.43, 389.25]","[291.28, 417.75]","[315.77, 388.96]","[317.39, 386.33]"
"[322.11, 383.75]","[326.71, 381.95]","[326.52, 383.33]","[323.09, 386.25]","[321.92, 387.14]","[321.26, 389.48]","[320.16, 393.56]","[323.05, 392.34]","[324.46, 389.18]","[293.66, 415.5]","[316.37, 388.62]","[317.78, 386.06]"
"[321.09, 384.23]","[325.72, 381.94]","[326.7, 381.96]","[324.23, 384.03]","[321.93, 386.32]","[321.25, 388.87]","[320.43, 392.78]","[323.83, 391.16]","[324.58, 388.89]","[300.57, 408.68]","[317.14, 388.01]","[317.79, 385.99]"
