"[-38.42, 285.49]","[-65.95, 306.45]","[-72.16, 297.87]","[-90.27, 294.45]","[-104.59, 284.89]","[-142.42, 304.02]","[-101.3, 256.91]","[-68.82, 234.09]","[-75.77, 262.63]","[-69.9, 282.02]","[-45.1, 278.0]","[-5.6, 250.39]"
"[17.16, 236.27]","[19.83, 229.45]","[7.66, 239.55]","[10.16, 238.75]","[8.37, 244.0]","[10.11, 243.8]","[15.33, 236.62]","[-28.59, 277.18]","[-27.36, 274.85]","[0.83, 249.27]","[3.18, 250.97]","[6.71, 249.09]"
"[41.55, 190.36]","[38.88, 191.88]","[49.12, 181.25]","[47.21, 182.64]","[42.2, 188.14]","[57.31, 176.38]","[73.2, 166.8]","[64.49, 182.12]","[63.62, 186.1]","[61.9, 185.62]","[50.73, 190.87]","[-53.04, 288.56]"
"[44.08, 163.58]","[51.74, 154.93]","[39.03, 166.87]","[46.73, 158.63]","[52.06, 154.25]","[49.04, 160.77]","[73.72, 141.36]","[64.18, 155.41]","[63.32, 157.52]","[53.52, 164.82]","[39.1, 174.75]","[-42.19, 252.06]"
"[45.5, 138.16]","[41.13, 141.63]","[42.26, 140.06]","[41.22, 140.98]","[51.39, 131.87]","[57.98, 128.36]","[62.05, 128.84]","[63.27, 131.58]","[60.68, 135.35]","[44.87, 148.98]","[42.74, 146.99]","[-42.12, 228.02]"
"[35.54, 126.4]","[35.56, 124.35]","[32.97, 126.21]","[35.23, 124.32]","[46.14, 114.96]","[52.82, 111.11]","[56.24, 111.42]","[52.62, 118.49]","[53.86, 118.97]","[44.07, 127.95]","[38.33, 130.71]","[-59.48, 224.69]"
"[35.36, 108.99]","[40.42, 102.43]","[35.55, 106.25]","[32.78, 108.75]","[43.52, 99.13]","[50.63, 94.69]","[48.34, 100.46]","[45.05, 106.57]","[46.67, 105.87]","[36.67, 114.7]","[39.98, 108.96]","[-47.29, 193.67]"
"[38.5, 91.52]","[34.13, 93.45]","[31.9, 94.08]","[31.7, 94.54]","[38.85, 89.05]","[47.95, 81.59]","[42.97, 87.16]","[32.97, 96.9]","[37.13, 92.71]","[32.18, 98.46]","[32.18, 99.47]","[-50.1, 181.75]"
"[33.17, 86.09]","[36.84, 79.44]","[30.46, 83.79]","[31.39, 83.06]","[37.03, 79.25]","[42.82, 75.14]","[39.79, 78.53]","[29.33, 88.48]","[33.36, 84.48]","[29.36, 89.79]","[35.11, 85.7]","[-80.8, 201.92]"
"[31.7, 76.95]","[33.53, 72.96]","[29.51, 75.4]","[29.43, 75.47]","[33.55, 72.61]","[39.62, 67.89]","[35.95, 72.06]","[26.64, 81.18]","[29.51, 78.36]","[27.42, 81.25]","[30.87, 78.88]","[-57.5, 167.45]"
"[29.64, 72.25]","[32.24, 65.68]","[26.8, 68.25]","[25.97, 69.14]","[30.34, 66.95]","[38.4, 60.71]","[32.42, 66.57]","[23.76, 74.02]","[25.69, 72.02]","[25.26, 74.6]","[29.47, 73.39]","[-89.35, 193.35]"
