"[nan, nan]","[38.29, 298.37]","[38.83, 289.07]","[37.68, 282.4]","[38.12, 278.99]","[38.77, 280.83]","[40.1, 284.8]","[42.54, 287.24]","[42.77, 290.34]","[47.31, 288.68]","[57.21, 282.24]","[57.63, 284.76]"
"[66.01, 312.9]","[85.24, 306.06]","[87.77, 288.0]","[77.17, 279.1]","[79.61, 276.36]","[87.17, 285.92]","[63.6, 319.65]","[79.22, 286.6]","[-11.36, 338.65]","[-93.96, 391.75]","[-102.07, 405.21]","[62.38, 277.7]"
"[173.75, 219.72]","[179.68, 225.52]","[156.23, 233.1]","[137.74, 231.4]","[137.72, 230.11]","[143.64, 240.83]","[115.7, 279.88]","[142.3, 238.1]","[37.4, 306.87]","[-58.63, 374.53]","[-79.95, 400.61]","[140.9, 215.12]"
"[173.32, 222.66]","[178.5, 225.11]","[155.3, 233.08]","[138.45, 232.98]","[139.68, 231.98]","[131.25, 255.03]","[115.99, 278.33]","[145.36, 233.88]","[40.47, 307.37]","[-43.46, 369.03]","[-49.98, 382.75]","[143.96, 220.84]"
"[174.64, 223.79]","[177.28, 226.39]","[155.15, 233.68]","[138.83, 234.99]","[141.1, 233.88]","[137.92, 250.48]","[107.41, 287.15]","[142.75, 236.74]","[43.98, 306.84]","[-35.25, 367.41]","[-30.44, 371.27]","[144.9, 226.02]"
"[176.43, 222.93]","[176.18, 228.31]","[156.26, 235.37]","[140.04, 237.78]","[142.19, 235.72]","[152.45, 237.01]","[99.36, 296.43]","[138.36, 245.67]","[71.33, 288.43]","[-9.06, 352.13]","[-21.54, 371.13]","[145.41, 229.76]"
"[179.61, 223.52]","[176.35, 230.86]","[157.23, 237.03]","[142.0, 238.88]","[143.81, 237.55]","[143.81, 249.42]","[128.63, 271.54]","[143.98, 245.61]","[104.74, 261.97]","[-1.35, 352.11]","[-11.97, 368.73]","[148.41, 232.32]"
"[181.34, 224.02]","[177.19, 233.97]","[159.77, 239.36]","[144.59, 240.38]","[145.34, 238.2]","[149.2, 244.68]","[111.55, 289.22]","[134.06, 257.22]","[122.92, 246.39]","[14.74, 338.43]","[-15.23, 373.53]","[149.28, 232.68]"
"[181.26, 224.43]","[179.05, 237.3]","[162.64, 243.54]","[148.23, 241.38]","[146.96, 237.71]","[152.64, 241.87]","[114.99, 289.78]","[147.94, 251.17]","[137.02, 240.2]","[85.17, 271.55]","[-26.48, 383.13]","[146.5, 232.37]"
"[183.54, 227.75]","[181.63, 240.49]","[164.89, 245.04]","[150.6, 241.35]","[149.71, 238.13]","[156.94, 242.65]","[126.98, 283.1]","[153.25, 248.39]","[132.09, 243.58]","[84.59, 268.5]","[-9.16, 363.96]","[146.76, 234.46]"
"[185.27, 229.56]","[183.23, 243.4]","[167.72, 246.54]","[153.83, 241.65]","[153.69, 237.19]","[160.49, 242.28]","[130.13, 283.36]","[148.15, 256.49]","[135.19, 242.3]","[88.4, 265.39]","[-10.2, 365.64]","[147.42, 235.66]"
"[186.6, 231.17]","[182.09, 242.94]","[168.2, 247.51]","[158.04, 243.66]","[156.43, 240.63]","[160.25, 243.64]","[128.52, 282.43]","[149.34, 256.7]","[134.88, 254.76]","[126.6, 248.94]","[22.25, 355.57]","[153.32, 243.41]"
"[189.83, 234.36]","[182.71, 243.54]","[167.67, 247.51]","[159.21, 244.35]","[158.82, 243.14]","[162.16, 246.49]","[124.91, 287.29]","[152.33, 251.88]","[122.59, 266.4]","[111.91, 268.34]","[60.86, 326.91]","[157.97, 249.41]"
"[191.18, 235.62]","[183.77, 244.07]","[168.6, 248.62]","[160.65, 245.81]","[160.71, 244.05]","[161.87, 248.36]","[108.61, 304.13]","[156.07, 249.23]","[130.51, 261.74]","[80.49, 305.27]","[68.45, 325.41]","[160.08, 251.98]"
"[191.41, 236.07]","[184.52, 244.28]","[170.52, 249.9]","[162.81, 248.05]","[162.12, 245.66]","[163.41, 247.39]","[96.44, 316.37]","[161.31, 246.89]","[135.89, 263.51]","[95.41, 299.65]","[70.75, 330.67]","[161.4, 254.2]"
"[192.22, 236.89]","[184.84, 244.98]","[171.99, 250.61]","[164.66, 249.46]","[163.11, 247.33]","[148.41, 263.23]","[89.31, 323.37]","[154.9, 254.55]","[145.13, 258.62]","[110.61, 291.22]","[93.55, 314.47]","[162.84, 256.89]"
"[193.5, 237.43]","[184.45, 245.72]","[173.18, 250.97]","[166.88, 250.71]","[165.82, 248.12]","[163.23, 249.57]","[60.34, 351.04]","[146.3, 262.05]","[129.47, 276.43]","[141.53, 266.28]","[117.55, 297.7]","[164.9, 259.94]"
"[194.87, 238.82]","[185.3, 247.53]","[173.92, 251.62]","[167.42, 251.08]","[163.77, 252.5]","[165.59, 251.77]","[78.78, 337.96]","[160.57, 251.36]","[133.65, 272.64]","[102.32, 303.74]","[123.25, 290.71]","[164.55, 261.25]"
