,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[30, 35]","[864.56234, 1057.04747]","[765.20038, 1029.04458]","[711.28988, 996.46662]","[678.80118, 1023.57834]","[634.34766, 1107.29854]","[616.66864, 1143.39727]","[620.24137, 1115.40120]","[633.78962, 1079.03933]","[602.20685, 1150.50023]","[541.28342, 1320.36879]","[639.13596, 1333.42805]","[842.26618, 1158.48844]"
"[35, 40]","[862.18482, 1070.97263]","[773.30469, 1043.40581]","[725.51795, 997.27530]","[697.37730, 1004.82501]","[640.48687, 1090.22427]","[637.91409, 1107.39134]","[635.46603, 1080.97707]","[637.90001, 1043.70163]","[618.41598, 1087.07622]","[576.80336, 1230.54150]","[588.50694, 1341.61749]","[819.58429, 1165.97255]"
"[40, 45]","[856.74941, 1081.53362]","[782.04586, 1051.10993]","[728.19009, 1004.94783]","[701.73186, 994.78733]","[637.88128, 1073.85044]","[650.22360, 1071.60578]","[644.75883, 1047.85759]","[640.44600, 1012.85429]","[648.33806, 1018.94759]","[618.31232, 1144.00291]","[545.73516, 1345.81090]","[787.05541, 1180.42551]"
"[45, 50]","[834.93964, 1077.27263]","[787.87637, 1051.38061]","[733.84532, 1014.97648]","[709.67023, 986.37474]","[629.18900, 1058.83948]","[645.68732, 1043.28724]","[664.40430, 1003.31918]","[656.62248, 980.38654]","[669.85757, 973.14926]","[649.88423, 1065.13181]","[494.86010, 1331.84220]","[723.21840, 1186.97519]"
"[50, 55]","[819.60782, 1074.38535]","[784.20558, 1048.48064]","[731.88366, 1015.05227]","[707.18327, 984.08305]","[629.24272, 1049.09139]","[648.65426, 1029.14294]","[675.73592, 982.51622]","[663.08657, 964.10938]","[679.39551, 947.36185]","[673.86789, 1014.73331]","[510.28127, 1283.61528]","[695.87148, 1184.75087]"
"[55, 60]","[799.60390, 1074.45737]","[781.55028, 1054.10152]","[736.55286, 1019.40149]","[708.14148, 980.76085]","[627.39459, 1034.15427]","[646.35178, 1011.37956]","[685.07402, 960.82010]","[674.36588, 945.75650]","[688.03619, 922.77740]","[688.59579, 964.44479]","[567.06052, 1177.51473]","[673.91922, 1163.47979]"
"[60, 65]","[783.77931, 1075.19262]","[776.80735, 1057.48205]","[739.56110, 1019.76175]","[710.37643, 976.15975]","[626.38819, 1024.80815]","[642.50740, 1003.65230]","[686.49839, 953.90077]","[680.22687, 939.46759]","[690.98837, 915.21791]","[694.19698, 941.72847]","[610.81812, 1105.83442]","[670.11746, 1140.02644]"
"[65, 70]","[766.33739, 1071.10499]","[764.15647, 1062.31160]","[740.46919, 1017.97117]","[707.59116, 974.80965]","[624.12737, 1015.94259]","[639.18150, 994.14106]","[684.89408, 948.25895]","[687.08436, 931.17659]","[689.92230, 912.18211]","[696.66844, 923.15767]","[657.53878, 1030.48458]","[681.67531, 1097.27968]"
"[70, 75]","[754.53799, 1070.01241]","[754.49749, 1065.15028]","[739.23472, 1016.72398]","[706.33116, 973.48784]","[626.22981, 1008.66359]","[636.89776, 990.31475]","[684.56454, 944.99950]","[690.58917, 927.46558]","[690.08107, 911.69464]","[698.37193, 915.98730]","[672.51160, 1003.18516]","[692.76121, 1070.58455]"
"[75, 80]","[742.65752, 1059.21376]","[738.31776, 1064.62141]","[731.99179, 1015.55787]","[700.69447, 975.00931]","[627.76867, 1001.63655]","[637.65594, 980.99690]","[678.11956, 943.04872]","[692.52009, 921.00477]","[687.95179, 912.22567]","[698.74574, 911.11621]","[684.86014, 977.87588]","[707.19319, 1035.03213]"
