,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25, 30]","[630.61856, 1540.99735]","[503.55352, 1404.51971]","[391.52185, 1436.17586]","[358.52043, 1512.73626]","[405.48244, 1625.65887]","[234.87206, 2114.47048]","[525.11880, 2296.24898]","[483.84149, 2832.83407]","[801.79538, 2815.92126]","[1023.98519, 2539.07290]","[986.41814, 2184.99023]","[915.53119, 1717.01040]"
"[30, 35]","[612.91386, 1577.67633]","[475.28230, 1438.36138]","[322.57359, 1504.08649]","[415.12704, 1435.88445]","[371.15616, 1592.19966]","[156.39451, 2062.31398]","[517.70220, 2132.88084]","[351.41419, 2808.66198]","[671.58892, 2853.96270]","[887.43161, 2659.71385]","[1107.77612, 2094.47839]","[919.34113, 1749.06885]"
"[35, 40]","[653.05254, 1597.15674]","[505.91029, 1456.52002]","[385.17643, 1500.93375]","[316.70854, 1608.21737]","[469.55524, 1540.21146]","[345.35331, 1830.60900]","[505.37014, 1990.38353]","[386.33200, 2555.83109]","[691.20440, 2646.30836]","[800.23540, 2658.86073]","[1139.93511, 2075.68979]","[934.51956, 1795.88018]"
"[40, 45]","[684.90984, 1641.72973]","[543.79149, 1482.63152]","[410.68034, 1531.83016]","[365.33649, 1623.50736]","[496.13715, 1575.43726]","[391.72466, 1803.91874]","[507.89343, 1928.45567]","[447.07261, 2363.55570]","[689.72707, 2501.35731]","[711.76135, 2655.47060]","[1132.71997, 2077.71878]","[964.15333, 1825.67287]"
"[45, 50]","[728.03866, 1675.87234]","[588.93682, 1498.96122]","[445.21144, 1543.18922]","[459.53128, 1580.67424]","[532.51116, 1600.77452]","[453.30844, 1785.11967]","[529.33103, 1890.00255]","[505.68880, 2217.98566]","[735.04185, 2339.13329]","[641.41891, 2643.62674]","[1135.45198, 2068.18559]","[998.78520, 1848.70663]"
"[50, 55]","[772.83015, 1701.33672]","[641.06360, 1518.00744]","[488.58088, 1557.20046]","[522.69791, 1564.19199]","[602.96792, 1571.80756]","[497.41005, 1769.63679]","[556.45527, 1860.28844]","[554.97175, 2125.38937]","[801.37621, 2204.72922]","[621.61593, 2607.31398]","[1125.88762, 2066.63511]","[1019.86207, 1867.93469]"
"[55, 60]","[817.17743, 1717.56505]","[709.89542, 1523.62608]","[524.03718, 1588.16704]","[565.78276, 1569.16932]","[624.65145, 1582.86042]","[537.53985, 1753.08896]","[600.15073, 1830.22648]","[618.13763, 2059.33191]","[842.36816, 2143.14192]","[624.52353, 2579.09060]","[1118.59976, 2066.58324]","[1048.19332, 1867.14949]"
"[60, 65]","[854.06506, 1730.29909]","[765.22234, 1529.87217]","[579.16499, 1593.89760]","[576.10661, 1615.90657]","[665.39935, 1596.61020]","[591.91986, 1746.47090]","[627.45940, 1832.18470]","[667.69510, 2010.44368]","[888.47306, 2072.76171]","[631.82083, 2542.30237]","[1090.25967, 2084.64212]","[1075.93032, 1861.52619]"
"[65, 70]","[886.74543, 1746.37200]","[831.82835, 1525.53415]","[622.73941, 1605.92146]","[587.41098, 1651.11800]","[705.09659, 1603.28233]","[624.26609, 1762.25359]","[673.64846, 1821.33406]","[716.04088, 1964.60782]","[932.69198, 1994.05191]","[765.49506, 2358.86300]","[1099.83519, 2044.76167]","[1098.71041, 1850.35215]"
"[70, 75]","[925.58314, 1747.24699]","[877.89482, 1541.62995]","[687.72299, 1605.03745]","[629.72843, 1663.10713]","[751.82020, 1602.84129]","[686.28395, 1743.98750]","[733.76794, 1799.30586]","[775.56656, 1925.02468]","[957.90920, 1961.42896]","[819.57763, 2277.45592]","[1122.32610, 1998.66944]","[1118.91040, 1834.49259]"
"[75, 80]","[957.74836, 1750.48860]","[935.44346, 1546.25635]","[726.83530, 1631.19649]","[692.64453, 1651.27914]","[790.48552, 1601.85790]","[738.07114, 1727.87960]","[788.05962, 1783.40902]","[829.21204, 1902.22389]","[999.05589, 1928.29989]","[911.59460, 2168.69101]","[1149.85294, 1948.58278]","[1136.23220, 1816.34436]"
"[80, 85]","[976.80959, 1753.04137]","[978.23547, 1545.46359]","[791.86184, 1614.40757]","[758.46384, 1629.77733]","[829.04114, 1602.99619]","[807.45186, 1696.84931]","[856.16817, 1750.28752]","[883.58416, 1869.95214]","[1032.55766, 1895.19679]","[973.03221, 2088.61031]","[1176.59275, 1900.32490]","[1154.67226, 1793.19303]"
"[85, 90]","[991.00302, 1761.31732]","[1018.40929, 1542.70079]","[831.81236, 1615.40239]","[833.71258, 1592.26257]","[869.43357, 1596.81510]","[860.75648, 1674.83117]","[904.03507, 1726.55507]","[914.40003, 1848.23398]","[1060.27124, 1857.72341]","[1027.97777, 2011.88815]","[1198.55009, 1860.20869]","[1174.87570, 1773.07879]"
"[90, 95]","[987.59584, 1787.50791]","[1052.63088, 1541.61993]","[863.47479, 1615.10874]","[889.81676, 1562.30416]","[904.29330, 1587.77771]","[910.98286, 1653.83770]","[975.92377, 1681.92655]","[946.15631, 1829.95934]","[1084.16698, 1826.66914]","[1067.15361, 1951.78590]","[1215.09074, 1826.48629]","[1200.49395, 1749.28035]"
