,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[25, 30]","[805.52749, 1018.01875]","[628.52510, 852.89077]","[599.65656, 835.89664]","[653.34473, 901.45922]","[651.15573, 1079.27717]","[347.94173, 1634.09974]","[328.05276, 2057.60172]","[543.40738, 2366.49887]","[716.60095, 2631.06194]","[971.64496, 2466.53974]","[962.48919, 2117.94516]","[809.57652, 1627.35530]"
"[30, 35]","[718.43319, 1210.59573]","[816.76427, 820.25227]","[712.20981, 847.36788]","[659.90162, 926.72976]","[630.82603, 1039.53000]","[345.82271, 1532.75306]","[236.49726, 2049.83174]","[335.07623, 2489.85489]","[765.56926, 2494.23676]","[943.79766, 2399.80099]","[1041.93821, 1971.34606]","[769.80467, 1677.82379]"
"[35, 40]","[817.24985, 1162.29454]","[736.03158, 986.99868]","[684.31404, 956.30967]","[666.42918, 959.45333]","[607.70151, 1045.57905]","[420.17827, 1394.34526]","[303.85648, 1891.07301]","[448.37448, 2273.67049]","[731.29508, 2424.28776]","[879.10231, 2371.75168]","[1001.59915, 1951.25545]","[752.47758, 1688.00273]"
"[40, 45]","[784.33243, 1217.60325]","[658.52035, 1067.34208]","[632.04835, 998.69055]","[645.81008, 970.27275]","[577.82865, 1063.52190]","[372.32664, 1408.94471]","[221.36633, 1902.95779]","[390.76157, 2232.29733]","[738.20803, 2324.13230]","[842.12406, 2356.36871]","[996.35901, 1954.20452]","[762.35517, 1704.12966]"
"[45, 50]","[777.20728, 1255.34505]","[516.20193, 1187.43590]","[528.58824, 1041.41239]","[603.94855, 958.36288]","[563.59451, 1059.52164]","[379.83650, 1401.90868]","[235.70692, 1865.12437]","[392.75914, 2161.63084]","[798.67135, 2176.59630]","[856.52392, 2289.02921]","[992.76168, 1967.34253]","[759.61440, 1754.62032]"
"[50, 55]","[791.63841, 1262.93574]","[528.57681, 1179.61861]","[528.29410, 1033.44851]","[599.38674, 958.65377]","[557.35571, 1069.22018]","[380.73679, 1393.15990]","[316.24049, 1740.70507]","[519.05843, 1952.32656]","[801.44779, 2079.80652]","[845.73512, 2234.57711]","[959.61127, 1984.10489]","[717.54126, 1815.43758]"
"[55, 60]","[699.14291, 1320.64395]","[409.99124, 1205.92692]","[440.09418, 1026.58106]","[570.87594, 947.91403]","[554.44212, 1093.11480]","[344.56515, 1456.42428]","[380.27038, 1650.96264]","[578.06696, 1809.26846]","[789.36547, 2001.99749]","[803.66574, 2238.13341]","[978.14580, 1982.65269]","[714.63377, 1837.94759]"
"[60, 65]","[720.96915, 1339.16719]","[478.35221, 1189.18290]","[477.86507, 1032.71846]","[573.97156, 972.84766]","[549.46852, 1115.07685]","[362.18688, 1452.56039]","[388.34148, 1653.35439]","[588.41761, 1798.15037]","[813.18769, 1961.23778]","[740.92527, 2275.89954]","[949.68622, 1997.14156]","[722.12297, 1843.59700]"
"[65, 70]","[697.69586, 1334.43026]","[518.35029, 1168.43710]","[511.88323, 1045.16515]","[587.84251, 1004.31953]","[490.74045, 1206.48990]","[385.05705, 1459.06446]","[387.41192, 1691.57477]","[616.74819, 1807.63509]","[835.90062, 1951.84076]","[676.11056, 2310.07839]","[861.84539, 2019.21740]","[740.56075, 1759.99178]"
