,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[25, 30]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[30, 35]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[35, 40]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[40, 45]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[45, 50]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[50, 55]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[55, 60]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[60, 65]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
"[65, 70]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]","[-400.00000, 4000.00000]"
